TEAM,PLAYER,THR,PROJECTED ROLE,"Sun 
 2/22","Sat 
 2/21","Fri 
 2/20","Thu 
 2/19","Wed 
 2/18","Tue 
 2/17",vFA,vSI,G,IP,ERA,Sv,HLD,K/9,K%,NameASCII,PlayerId,MLBAMID
ARI,Kevin Ginkel,R,Co-Closer,,,,,,,94.9727,94.1486,29,25.2,7.36364,3,6,10.1688,0.239669,Kevin Ginkel,19876,656464
ARI,Paul Sewald,R,Co-Closer,,,,,,,90.5935,,22,19.2,4.57627,2,4,9.15254,0.246914,Paul Sewald,13892,623149
ARI,Ryan Thompson,R,Setup Man,,,,,,,91.1329,89.694,48,41.1,3.91935,1,17,7.83871,0.205714,Ryan Thompson,16647,657044
ARI,Kade Strowd,R,Setup Man,,,,,,,95.6029,96.1092,25,26.1,1.70886,0,5,8.20253,0.228571,Kade Strowd,26191,669704
ARI,Drey Jameson,R,Middle Reliever,,,,,,,98.4673,96.5156,3,3,3,1,0,0,0,Drey Jameson,26260,686753
ARI,Brandyn Garcia,L,Middle Reliever,,,,,,,,96.8628,14,14.1,5.65116,0,2,8.7907,0.212121,Brandyn Garcia,33568,805299
ARI,Taylor Clarke,R,Long Reliever,,,,,,,94.9838,94.8134,51,55.1,3.25301,1,5,7.15663,0.213592,Taylor Clarke,17611,664199
ARI,A.J. Puk,L,60-Day IL,,,,,,,96.5253,96.0492,8,8,3.375,4,2,13.5,0.342857,A.J. Puk,19343,640462
ARI,Justin Martinez,R,60-Day IL,,,,,,,99.8813,99.3015,17,15.1,4.1087,5,4,12.913,0.328358,Justin Martinez,24453,679885
ARI,Andrew Saalfrank,L,60-Day IL,,,,,,,89.1039,89.2096,28,29,1.24138,3,5,5.89655,0.168142,Andrew Saalfrank,26203,685314
ATH,Hogan Harris,L,Closer Committee,,,,,,,93.4384,,48,64.2,3.20103,4,3,9.04639,0.234657,Hogan Harris,21520,663687
ATH,Justin Sterner,R,Closer Committee,,,,,,,93.6035,,59,65,3.18462,0,16,9.69231,0.263158,Justin Sterner,27694,686993
ATH,Mark Leiter Jr.,R,Closer Committee,,,,,,,93.3861,93.7162,59,48.1,4.84138,2,14,10.0552,0.246575,Mark Leiter Jr.,15551,643410
ATH,Michael Kelly,R,Middle Reliever,,,,,,,95.8492,95.0323,42,39.2,3.17647,2,7,6.57983,0.174699,Michael Kelly,12791,547184
ATH,Scott Barlow,R,Middle Reliever,,,,,,,92.244,92.3904,75,68.1,4.21463,1,16,9.87805,0.247525,Scott Barlow,14993,605130
ATH,Elvis Alvarado,R,Middle Reliever,,,,,,,98.6904,98.1508,37,42.1,3.18898,0,4,10.6299,0.273224,Elvis Alvarado,21662,665660
ATH,Brady Basso,L,Middle Reliever,,,,,,,92.8382,92.181,11,11.2,2.31429,0,2,6.17143,0.142857,Brady Basso,25582,669620
ATH,Luis Medina,R,Long Reliever,,,,,,,,,,,,,,,,Luis Medina,21649,665622
ATL,Raisel Iglesias,R,Closer,,,,,,,94.833,94.6387,70,67.1,3.20792,29,2,9.75743,0.274436,Raisel Iglesias,17130,628452
ATL,Robert Suarez,R,Setup Man,,,,,,,98.6495,98.4874,70,69.2,2.97129,40,0,9.689,0.27881,Robert Suarez,30115,663158
ATL,Dylan Lee,L,Setup Man,,,,,,,94.0425,,74,68.1,3.29268,2,19,10.0098,0.285714,Dylan Lee,19996,669276
ATL,Tyler Kinley,R,Middle Reliever,,,,,,,95.1717,,73,72.2,3.9633,3,13,9.04128,0.237013,Tyler Kinley,18297,641755
ATL,Aaron Bummer,L,Middle Reliever,,,,,,,91.5685,90.8521,42,54.1,3.80982,0,2,8.44785,0.217021,Aaron Bummer,16258,607481
