Season,PlayerName,playerid,Age,position,Team,PA,H,R,RBI,HR,SB,AVG,OBP,SLG,EV,LA,BarrelPct,HardHitPct,Events
2018,Mookie Betts,13611,25,OF,BOS,614,180,129,80,32,30,0.3462,0.4381,0.6404,92.2,18.5,14.1,50.6,434
2018,Mike Trout,10155,26,OF,LAA,608,147,101,79,39,24,0.3121,0.4596,0.6285,91.2,18.6,16.5,46.2,351
2018,Alex Bregman,17678,24,3B,HOU,705,170,105,103,31,10,0.2862,0.3943,0.532,89.4,16.8,7.6,39.9,512
2018,Francisco Lindor,12916,24,SS,CLE,745,183,129,92,38,25,0.2769,0.3518,0.5189,90.6,14.7,9.3,41,560
2018,Christian Yelich,11477,26,OF,MIL,651,187,118,110,36,22,0.3258,0.4025,0.5976,92.6,5,12.9,50.8,441
2018,José Ramírez,13510,25,3B,CLE,698,156,110,105,39,34,0.2699,0.3868,0.5519,89,19,8.3,35.1,504
2018,Manny Machado,11493,25,3B,2 Tms,709,188,84,107,37,14,0.2975,0.3667,0.538,91.6,14.4,11.3,48.2,533
2018,Matt Chapman,16505,25,3B,OAK,616,152,100,68,24,1,0.2779,0.3555,0.5082,93.1,14.9,8.9,47.8,403
2018,Nolan Arenado,9777,27,3B,COL,673,175,104,110,38,2,0.2966,0.3735,0.561,89.8,15.3,7.2,40.5,475
2018,J.D. Martinez,6184,30,DH/OF,BOS,649,188,111,130,43,6,0.3304,0.4022,0.6292,93,10.8,16,52.7,430
2018,Javier Báez,12979,25,SS,CHC,645,176,101,111,34,21,0.2904,0.3261,0.5545,90.6,9.6,12.6,43.3,444
2018,Jose Altuve,5417,28,2B,HOU,599,169,84,61,13,17,0.3165,0.3859,0.4513,87.2,10.1,5.9,33.8,459
2018,Anthony Rendon,12861,28,3B,WSN,597,163,88,92,24,2,0.3081,0.3735,0.535,90.7,17.9,10.3,44.8,455
2018,Yasmani Grandal,11368,29,C,LAD,518,106,65,68,24,2,0.2409,0.3494,0.4659,88.9,14.1,11.6,40.4,319
2018,Trea Turner,16252,25,SS,WSN,740,180,103,73,19,43,0.2711,0.3442,0.4157,89.1,9.3,5.8,38.6,534
2018,Brandon Nimmo,12927,25,OF,NYM,535,114,77,47,17,9,0.2633,0.4037,0.4827,89.9,10.7,6.5,42.1,293
2018,Aaron Judge,15640,26,OF,NYY,498,115,77,67,27,6,0.2785,0.3916,0.5278,94.7,12.4,16.2,54.1,266
2018,Whit Merrifield,11281,29,2B/OF,KCR,707,192,88,60,12,45,0.3038,0.3674,0.4383,87,16.9,4.6,31.2,526
2018,Mitch Haniger,14274,27,OF,SEA,683,170,90,93,26,8,0.2852,0.366,0.4933,90.2,12.7,10.3,43.2,455
2018,Trevor Story,12564,25,SS,COL,656,174,88,108,37,27,0.291,0.3476,0.5669,91,15.9,12.7,46.2,434
2018,J.T. Realmuto,11739,27,C,MIA,531,132,74,74,21,3,0.2767,0.3403,0.4843,88.9,14.5,9,41.2,377
2018,Xander Bogaerts,12161,25,SS,BOS,580,148,72,103,23,8,0.2885,0.3603,0.5224,90.6,12.6,9.8,41.8,417
2018,Paul Goldschmidt,9218,30,1B,ARI,690,172,95,83,33,7,0.2901,0.389,0.5329,90.8,15.7,13.6,44,420
2018,Freddie Freeman,5361,28,1B,ATL,707,191,94,98,23,10,0.3091,0.3876,0.5049,89.1,14.5,9.3,39.8,492
2018,Eugenio Suárez,12552,26,3B,CIN,606,149,79,104,34,1,0.2827,0.3663,0.5256,91.2,14.8,9.7,45.6,391
2018,Ronald Acuña Jr.,18401,20,OF,ATL,487,127,78,64,26,16,0.2933,0.3655,0.552,90.9,13.1,13.4,46.6,313
2018,Andrew Benintendi,17901,23,OF,BOS,661,168,103,87,16,21,0.2902,0.3657,0.4646,88.6,12.8,6.4,33.7,482
2018,Max Muncy,13301,27,1B/3B,LAD,481,104,75,79,35,3,0.2633,0.3909,0.5823,90.3,18.3,16.9,46.4,266
2018,Justin Turner,5235,33,3B,LAD,426,114,62,52,14,2,0.3123,0.4061,0.5178,89.1,18.3,7.7,36.7,313
2018,Matt Carpenter,8090,32,3B,STL,677,145,111,81,36,4,0.2571,0.3743,0.523,90.7,21.6,13.7,44.7,410
2018,Starling Marte,9241,29,OF,PIT,606,155,81,72,20,33,0.2773,0.3273,0.4597,88.4,8.9,7.5,38.8,454
2018,Nick Ahmed,12147,28,SS,ARI,564,121,61,70,16,5,0.2345,0.2895,0.4109,86.9,11.9,5.1,30,413
2018,Ozzie Albies,16556,21,2B,ATL,684,167,105,72,24,14,0.2613,0.3045,0.4523,86.8,16.1,4.7,29.4,527
