Season,mlbam_id,EV,LA,BarrelPct,HardHitPct,Events
2018,606299,85.8,15,2.5,23.6,570
2018,596019,90.6,14.7,9.3,41,560
2018,455976,90.6,10.1,3.1,41.6,552
2018,607208,89.1,9.3,5.8,38.6,534
2018,592518,91.6,14.4,11.3,48.2,533
2018,516416,87.7,7.8,3.6,32.3,527
2018,645277,86.8,16.1,4.7,29.4,527
2018,593160,87,16.9,4.6,31.2,526
2018,542255,84.9,10.9,1.5,18.7,519
2018,488726,90.2,9.5,3.5,38.4,517
2018,592743,88.2,7.8,4.1,36.3,516
2018,608324,89.4,16.8,7.6,39.9,512
2018,543760,86.8,15.5,4.5,32.1,510
2018,608070,89,19,8.3,35.1,504
2018,453568,87.5,12,6.5,35.2,495
2018,519203,90.1,14.7,6.5,40.6,495
2018,518692,89.1,14.5,9.3,39.8,492
2018,430945,88.3,13.2,4.9,33.1,491
2018,543829,83.2,5.8,0.2,12.5,490
2018,643217,88.6,12.8,6.4,33.7,482
2018,493329,89.3,11.5,1.9,36.6,481
2018,609280,89.2,12.3,6.3,36.5,480
2018,519058,89.5,19.9,8.8,39.1,476
2018,542303,91.5,10.8,9.7,45.1,476
2018,467793,88.9,15.2,6.9,39.1,475
2018,516770,88.5,8.4,6.9,36.2,475
2018,571448,89.8,15.3,7.2,40.5,475
2018,543333,88.7,-1.5,5.9,38.2,472
2018,592206,89.6,15.2,11.2,40.7,472
2018,476704,89.2,17.4,5.3,37.9,471
2018,571697,87.3,14,5.8,32.3,467
2018,570560,86.7,9.3,3,28.3,467
2018,605119,90.2,8.7,5.8,42.4,463
2018,520471,88.6,13.7,3.9,28.9,462
2018,518934,91.3,5.9,5.2,43.2,460
2018,514888,87.2,10.1,5.9,33.8,459
2018,592696,87.7,17.8,8.3,34.2,458
2018,571745,90.2,12.7,10.3,43.2,455
2018,543685,90.7,17.9,10.3,44.8,455
2018,516782,88.4,8.9,7.5,38.8,454
2018,514917,85.7,11.4,4.2,28.5,454
2018,572122,89.8,18.5,5.6,39.6,449
2018,500871,86.5,18.9,8.3,27.6,448
2018,456715,89.1,4.9,3.4,40.5,447
2018,544369,87,16,4.7,30.8,445
2018,595879,90.6,9.6,12.6,43.3,444
2018,606466,88.8,5.8,5,36.9,444
2018,642708,87.8,7.7,3.9,32.3,441
2018,592885,92.6,5,12.9,50.8,441
2018,595777,87.3,12.4,5,31.8,440
2018,445055,85.1,4.2,1.8,21.4,440
2018,596146,89.5,16.3,6.6,38.2,439
2018,444482,91.5,6.7,7.8,46.3,438
2018,572039,88.5,13.2,9.6,38.7,437
2018,500874,91,8.1,9.4,44.6,435
2018,605141,92.2,18.5,14.1,50.6,434
2018,596115,91,15.9,12.7,46.2,434
2018,641820,89.9,5.4,11.8,42.9,434
2018,458731,88,9.4,2.8,32.9,432
2018,457705,90,13.4,8.4,41.9,431
2018,546318,86.7,13,4.9,31.9,430
2018,502110,93,10.8,16,52.7,430
2018,452678,90.1,14.5,7.2,39.6,429
2018,572821,86.8,17.5,6.3,29.4,429
2018,572816,87.9,15.1,6.1,32.4,428
2018,500743,84.7,9.3,0.9,23.8,426
2018,435079,85.3,17.7,3.1,26.2,426
2018,400121,87.8,14.1,4.7,30.6,425
2018,543807,88.6,9.5,8.9,37.4,425
2018,641313,85.8,10.8,4.7,27.9,423
2018,444876,84.6,10.6,2.1,21.5,423
2018,543401,86.9,17.8,6.6,31.6,422
2018,502671,90.8,15.7,13.6,44,420
2018,607680,87.3,16.8,5.7,36.7,420
2018,621566,93.3,18.1,12.2,52.2,419
2018,593428,90.6,12.6,9.8,41.8,417
2018,519317,93.7,11.7,15.1,50.8,416
2018,456488,88.3,9.4,3.4,35.7,415
2018,543063,87.5,11.3,3.6,33.3,414
2018,435622,90.1,0.1,7,43.2,414
2018,656555,88.9,22.5,11.4,39.2,413
2018,622110,86.8,4.8,1.2,28.1,413
2018,605113,86.9,11.9,5.1,30,413
2018,572761,90.7,21.6,13.7,44.7,410
2018,641355,89.8,16.2,8.6,38.9,409
2018,501981,92.5,18.1,17.2,48.1,408
2018,425783,89.3,6.1,11.1,40.5,407
2018,521692,91.3,18,10.8,47.5,407
2018,458015,88.1,13.4,6.7,35.1,405
2018,408045,91.1,4.4,5,44.3,404
2018,405395,90,14.1,6.2,40.9,403
2018,656305,93.1,14.9,8.9,47.8,403
2018,621563,88.8,10.7,2.7,35.7,403
2018,450314,89.9,9,3,38.7,403
2018,605137,90.2,9.4,7,39.3,402
2018,443558,93.9,12.8,13.8,51.7,400
2018,500208,87.1,14.1,4.5,32,400
2018,425877,88.2,15.4,5.5,33.8,399
2018,475174,87.8,15.7,9.8,37.5,398
2018,543768,88.9,16.9,10.3,38.3,397
2018,622534,89.4,11.5,3.3,37,397
2018,547989,91.3,12.2,9.1,45.2,396
2018,553993,91.2,14.8,9.7,45.6,391
2018,605480,85.8,3.7,1.5,23,391
2018,547180,91,14.4,11.5,45.4,390
2018,578428,84.8,12.1,1.3,22.6,390
2018,624424,88.1,12.3,9.5,37.8,388
2018,460086,88.5,10.9,6.8,39.7,384
2018,600869,87.1,15.3,6,33.6,384
2018,446334,88.5,13.6,7.6,37.2,384
2018,518792,88.3,9.6,2.9,38.8,384
2018,592387,89.6,12.3,7.1,41.6,382
2018,571740,80.5,15.3,0.5,8.5,377
2018,543305,89.7,13.2,8.8,43,377
2018,592663,88.9,14.5,9,41.2,377
2018,608577,90.5,5.3,8.5,43.4,376
2018,429665,89.9,18,11.2,41.4,375
2018,596748,88,9.5,6.4,34.1,374
2018,571466,87.1,12.4,3.5,30.3,370
2018,503556,89.1,11.3,6.8,41.5,370
2018,546991,86.6,8.3,1.4,27.4,369
2018,660162,91,15.4,9.6,44.2,365
2018,621020,88,14.1,4.1,34,365
2018,452655,87.2,13.3,2.7,29.6,365
2018,649557,89.1,13.7,7.4,39.6,364
2018,594777,90.4,12.1,9.3,43.1,364
2018,570731,86.4,11.5,5,30.6,363
2018,457708,90.7,11.9,14,47.4,363
2018,621035,88.9,16.4,8.3,38.5,362
2018,518618,87.4,15.8,6.1,37.8,361
2018,543068,88,15.2,12.2,36.6,361
2018,622666,88,12.6,5,33.7,359
2018,542583,89.8,16.2,11.4,42.9,359
2018,502210,85.6,18.2,3.9,27,359
2018,518960,86.9,13.5,2.2,27.5,357
2018,502054,93,6.6,10.1,49.9,357
2018,575929,88.2,8,7.3,33.3,357
2018,461314,89.6,15.8,11,39.1,354
2018,596059,90.7,13.9,7.1,38.7,354
2018,471865,89.7,9,6.2,39.1,353
2018,527038,86.3,17.1,2.8,27.1,353
2018,475253,89.5,15,10.8,42.5,352
2018,517369,89,4.7,3.4,37.4,351
2018,570256,88.9,20.1,9.4,37.8,351
2018,545361,91.2,18.6,16.5,46.2,351
2018,457763,89.1,10.3,5.2,34.9,347
