playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
27647,Anthony Volpe,2023,SB,0.03993344425956739,0.03883821674682302,0.030013148597332638,0.04863523083098679,fit
27647,Anthony Volpe,2024,SB,0.040638606676342524,0.038027923484224034,0.03087633145017786,0.045840931575846254,fit
27647,Anthony Volpe,2025,SB,0.030201342281879196,0.03300305335963074,0.025745629827483744,0.04106523126300031,fit
27462,Austin Martin,2024,SB,0.027237354085603113,0.04316598228725419,0.0283596600803639,0.06096241059212528,fit
27462,Austin Martin,2025,SB,0.06077348066298342,0.04020840705049144,0.02647004104617596,0.05713329939860823,fit
19921,Blake Perkins,2023,SB,0.02976190476190476,0.04453748896892546,0.03103528872326492,0.060327028300523326,fit
19921,Blake Perkins,2024,SB,0.052995391705069124,0.04581095668291823,0.03427866199708837,0.058915330307287704,fit
19921,Blake Perkins,2025,SB,0.04093567251461988,0.041571572150953646,0.02902895686183169,0.05615769028474347,fit
25764,Bobby Witt Jr.,2022,SB,0.04746835443037975,0.048600724594035194,0.03872048901366867,0.05922895909954678,fit
25764,Bobby Witt Jr.,2023,SB,0.07060518731988473,0.059247188786230975,0.050497122370492364,0.06846174374301577,fit
25764,Bobby Witt Jr.,2024,SB,0.04372355430183357,0.05763216774950034,0.04939256846029902,0.06613858518701698,fit
25764,Bobby Witt Jr.,2025,SB,0.055312954876273655,0.04952520745700402,0.040298230806551615,0.0597133578353367,fit
21496,Brandon Lockridge,2025,SB,0.06756756756756757,0.058113825457002416,0.03194464903129886,0.0917221609927463,fit
25479,Brenton Doyle,2023,SB,0.05104408352668213,0.0471943624327913,0.03629496094428943,0.0601483280104847,fit
25479,Brenton Doyle,2024,SB,0.04975124378109453,0.04547719365640018,0.03722658879109532,0.05451390030068463,fit
25479,Brenton Doyle,2025,SB,0.03345724907063197,0.038529008694364535,0.02973043668610337,0.04866748045070358,fit
22186,Brice Turang,2023,SB,0.05803571428571429,0.06346344861173431,0.04996071345587645,0.07835250386633842,fit
22186,Brice Turang,2024,SB,0.08077544426494346,0.06019691907825215,0.05059868791692821,0.07040420215686101,fit
22186,Brice Turang,2025,SB,0.036418816388467376,0.04988578868795129,0.04005012435486488,0.06065271976928715,fit
29524,Bryce Teodosio,2025,SB,0.04666666666666667,0.04068372895232502,0.020682263924231326,0.06775640112635284,fit
26294,Bryson Stott,2022,SB,0.02575107296137339,0.03403892630382206,0.025563172063543065,0.0437252991885518,fit
26294,Bryson Stott,2023,SB,0.0484375,0.045275583456131,0.03715162848473877,0.05394465637048636,fit
26294,Bryson Stott,2024,SB,0.05604203152364273,0.04745718270142796,0.03949961415453412,0.056079489836874385,fit
26294,Bryson Stott,2025,SB,0.04285714285714286,0.043406527789364345,0.03368255332368564,0.05457678029535712,fit
25768,CJ Abrams,2022,SB,0.023178807947019868,0.046441983504928654,0.03549862038935441,0.059329591415506054,fit
25768,CJ Abrams,2023,SB,0.07654723127035831,0.05757625188602361,0.04786471958817428,0.06816890040410445,fit
25768,CJ Abrams,2024,SB,0.05149501661129568,0.057027892311461784,0.048440785348394175,0.06621967988613073,fit
25768,CJ Abrams,2025,SB,0.048818897637795275,0.04994691502723939,0.04037131543537611,0.06061817627313462,fit
24262,Ceddanne Rafaela,2024,SB,0.03327495621716287,0.035157619140749434,0.025983919265016687,0.04552779848548439,fit
24262,Ceddanne Rafaela,2025,SB,0.034071550255536626,0.032276688806480894,0.02418682669804707,0.04144052881859265,fit
17929,Cedric Mullins,2018,SB,0.010471204188481676,0.03392969302937247,0.02305528036584531,0.046848476134956865,fit
17929,Cedric Mullins,2020,SB,0.0457516339869281,0.03750301791098345,0.029194711201389705,0.04681461764731129,fit
17929,Cedric Mullins,2021,SB,0.044444444444444446,0.039899697819282015,0.033150429167108565,0.047347638942124244,fit
