playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
19343,A.J. Puk,2022,SO,1.1457286432160805,1.2218247427971736,1.107800427492789,1.34059948483705,fit
19343,A.J. Puk,2023,SO,1.3764705882352941,1.2043387420450946,1.0997782530651334,1.3144967721569516,fit
19343,A.J. Puk,2024,SO,1.2336448598130842,1.1437600051262806,1.0376836642281562,1.257854393425561,fit
23550,Aaron Ashby,2021,SO,1.231578947368421,1.1344359652877034,0.974639095133356,1.3043722134926403,fit
23550,Aaron Ashby,2024,SO,1.1647058823529413,1.121373675270278,1.0025065842271754,1.2514280022810857,fit
23550,Aaron Ashby,2025,SO,1.14,1.099357424096978,0.9805456376140759,1.2295076456489935,fit
25327,Abner Uribe,2023,SO,1.2717391304347825,1.284292834309996,1.1261431050793438,1.4609485775286437,fit
25327,Abner Uribe,2025,SO,1.1946902654867257,1.2152419166460757,1.0795229816726435,1.361150559237911,fit
25007,Alex Vesia,2021,SO,1.35,1.377751234165918,1.2518234144699771,1.5100525780314644,fit
25007,Alex Vesia,2022,SO,1.4539877300613497,1.3597800574890573,1.2521396161146034,1.4708610514772649,fit
25007,Alex Vesia,2023,SO,1.2885906040268458,1.3606647327247108,1.2565375315783445,1.4664025147458826,fit
25007,Alex Vesia,2024,SO,1.3115577889447236,1.3116584285782438,1.208270545963589,1.4192009101517586,fit
25007,Alex Vesia,2025,SO,1.340782122905028,1.269651864263818,1.1557959253166237,1.3870644872237483,fit
21132,Alexis Díaz,2022,SO,1.3036649214659686,1.2800382097892278,1.1587073226952713,1.4110182002310572,fit
21132,Alexis Díaz,2023,SO,1.2772277227722773,1.2565174245559458,1.1442989203568619,1.377482532337339,fit
21132,Alexis Díaz,2024,SO,0.9763313609467456,1.1883731042023473,1.0763042554894682,1.3083137483387202,fit
25942,Andrew Nardi,2023,SO,1.2732558139534884,1.2777815088955748,1.1342796858457371,1.4310310691283858,fit
25942,Andrew Nardi,2024,SO,1.4093959731543624,1.217225137152878,1.0821421479708335,1.3604465252697326,fit
20373,Andrés Muñoz,2019,SO,1.3043478260869565,1.3814860244645248,1.2141758274287175,1.5600965674852751,fit
20373,Andrés Muñoz,2022,SO,1.476923076923077,1.3904889648693275,1.2756336453921808,1.5114829359480886,fit
20373,Andrés Muñoz,2023,SO,1.3673469387755102,1.38792418586987,1.2817206273437,1.5013722809669166,fit
20373,Andrés Muñoz,2024,SO,1.297752808988764,1.3344602281186317,1.2299675840556972,1.4422897422317114,fit
20373,Andrés Muñoz,2025,SO,1.3315508021390374,1.2883318527807575,1.1804486164058465,1.4021309168253049,fit
10233,Aroldis Chapman,2018,SO,1.8116883116883116,1.5830055748475813,1.4525207840789025,1.7160897945097513,fit
10233,Aroldis Chapman,2019,SO,1.4912280701754386,1.6469324823717055,1.528413232507913,1.7672307383649137,fit
