playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
25327,Abner Uribe,2023,SVHLD,0.2934782608695652,0.20478496084851208,0.14871139394344493,0.26902917164722623,fit
25327,Abner Uribe,2025,SVHLD,0.584070796460177,0.5825010734296294,0.4662481955103312,0.7089670695555161,fit
20039,Adrian Morejon,2022,SVHLD,0.14705882352941177,0.07806468349035485,0.0531333649581184,0.10727085561451011,fit
20039,Adrian Morejon,2024,SVHLD,0.2198952879581152,0.29499562477649005,0.23000057709909447,0.365384966613867,fit
20039,Adrian Morejon,2025,SVHLD,0.31221719457013575,0.32260593312713637,0.2560118421517418,0.3966835634415291,fit
12828,Andrew Kittredge,2018,SVHLD,0,0.05991353675135299,0.04377137817648091,0.07909054301895423,fit
12828,Andrew Kittredge,2019,SVHLD,0.04026845637583893,0.07078029301396278,0.054430084800961336,0.08953523605748484,fit
12828,Andrew Kittredge,2021,SVHLD,0.20930232558139533,0.2956964026625279,0.24585476377224968,0.34990567562895203,fit
12828,Andrew Kittredge,2022,SVHLD,0.25,0.1113982497507543,0.09347231139438682,0.1306249388206211,fit
12828,Andrew Kittredge,2024,SVHLD,0.5377358490566038,0.4313576495244286,0.35271296388823137,0.5181318243184259,fit
12828,Andrew Kittredge,2025,SVHLD,0.37735849056603776,0.4759160094360976,0.37283816714377377,0.5915676164837236,fit
26203,Andrew Saalfrank,2025,SVHLD,0.27586206896551724,0.1557540631575872,0.09985036069275763,0.22615162691102153,fit
20373,Andrés Muñoz,2019,SVHLD,0.391304347826087,0.3533264176987931,0.25340271386920177,0.47184638196202344,fit
20373,Andrés Muñoz,2022,SVHLD,0.4,0.46643027783609736,0.3928374008523665,0.547380585292077,fit
20373,Andrés Muñoz,2023,SVHLD,0.5510204081632653,0.5004629268653348,0.43040232435065706,0.5732340920323582,fit
20373,Andrés Muñoz,2024,SVHLD,0.47191011235955055,0.5223425769531232,0.4501552079694892,0.5989787679705844,fit
20373,Andrés Muñoz,2025,SVHLD,0.6096256684491979,0.543867097085713,0.45615531301392165,0.6387131947880166,fit
10233,Aroldis Chapman,2018,SVHLD,0.6428571428571428,0.5512602472288236,0.4624013742126343,0.6470235511534814,fit
10233,Aroldis Chapman,2019,SVHLD,0.6491228070175439,0.5564095573714074,0.4816373132814192,0.6383609853251004,fit
10233,Aroldis Chapman,2021,SVHLD,0.5502958579881656,0.5499069963015661,0.49029330513134767,0.6145705115661152,fit
10233,Aroldis Chapman,2022,SVHLD,0.2752293577981651,0.5438212633903887,0.4823157016161001,0.6087724380081608,fit
10233,Aroldis Chapman,2023,SVHLD,0.34285714285714286,0.5269090978290243,0.45908207245051597,0.599923543197616,fit
10233,Aroldis Chapman,2024,SVHLD,0.5837837837837838,0.4962332714375163,0.4189726129712489,0.5784351763840013,fit
10233,Aroldis Chapman,2025,SVHLD,0.5869565217391304,0.46587836309685604,0.38003287834182314,0.5581677152049374,fit
12572,Blake Treinen,2018,SVHLD,0.47302904564315357,0.44431380787466085,0.3768089946909169,0.5192375797126743,fit
12572,Blake Treinen,2019,SVHLD,0.32386363636363635,0.4523685315750925,0.3915571816265958,0.5175392953426099,fit
12572,Blake Treinen,2020,SVHLD,0.3896103896103896,0.4579476364105163,0.3968221637018119,0.5221887557675237,fit
12572,Blake Treinen,2021,SVHLD,0.5391705069124424,0.45524661540384537,0.3918330474474833,0.5223934618497136,fit
12572,Blake Treinen,2024,SVHLD,0.3642857142857143,0.4230236198080975,0.3284218133865268,0.5289037920690409,fit
12572,Blake Treinen,2025,SVHLD,0.44999999999999996,0.4012688501107462,0.2973474456501985,0.5223340098190311,fit
15734,Brad Keller,2018,SVHLD,0.035629453681710214,0.06683600841034015,0.04019824859533561,0.09852472070348983,fit
15734,Brad Keller,2024,SVHLD,0.024193548387096774,0.09256563431556969,0.07228144759292851,0.11465848121639124,fit
15734,Brad Keller,2025,SVHLD,0.4019138755980861,0.34831737876805674,0.26507233161294325,0.4428834313097783,fit
16727,Brock Stewart,2019,SVHLD,0,0.05627664903866641,0.03581448193037259,0.08170674061343246,fit
16727,Brock Stewart,2023,SVHLD,0.3253012048192771,0.3392538823753965,0.25980059870946237,0.42995544707218025,fit
16727,Brock Stewart,2025,SVHLD,0.42477876106194695,0.4375159428476366,0.30672880443571165,0.5943514043195286,fit
10061,Brooks Raley,2020,SVHLD,0.35,0.3660627553186518,0.2964226652166827,0.4434209475946627,fit
10061,Brooks Raley,2021,SVHLD,0.22448979591836735,0.38953727807770416,0.3233961049924326,0.460821952193952,fit
10061,Brooks Raley,2022,SVHLD,0.5217391304347826,0.4166296799010912,0.34701452089040113,0.4922659194974603,fit
10061,Brooks Raley,2023,SVHLD,0.5121951219512195,0.4370372748896845,0.353528020921693,0.5283913910666191,fit
10061,Brooks Raley,2025,SVHLD,0.3896103896103896,0.4544204838493448,0.3336500473924928,0.5956119159152126,fit
16609,Bryan Abreu,2021,SVHLD,0.2222222222222222,0.09652683038480138,0.07280352724040644,0.12333900781328364,fit
16609,Bryan Abreu,2022,SVHLD,0.16574585635359115,0.345889368575884,0.281362934909243,0.41650088408238256,fit
16609,Bryan Abreu,2023,SVHLD,0.4027777777777778,0.3952426951989278,0.33724897460141123,0.4579424909009593,fit
16609,Bryan Abreu,2024,SVHLD,0.49787234042553197,0.4398784229757594,0.3762531808179025,0.5071408756362755,fit
16609,Bryan Abreu,2025,SVHLD,0.4507042253521127,0.4889407556440353,0.4028110328897725,0.5848768959743054,fit
25890,Bryan King,2024,SVHLD,0,0.11697573188572927,0.08786141747466342,0.15071489387056475,fit
25890,Bryan King,2025,SVHLD,0.4264705882352941,0.3785137414130542,0.29312463114121384,0.4759392977061681,fit
27867,Cade Smith,2024,SVHLD,0.3584070796460177,0.41392138798778616,0.3341172337120426,0.5012066393005122,fit
27867,Cade Smith,2025,SVHLD,0.4751131221719457,0.4296885731480768,0.35178222836132456,0.5164421641294666,fit
20116,Calvin Faucher,2022,SVHLD,0.09375,0.07755307966531073,0.05347713574809701,0.10716048737558431,fit
20116,Calvin Faucher,2023,SVHLD,0.03896103896103896,0.088742336711833,0.06740422032455023,0.1133796170335771,fit
20116,Calvin Faucher,2024,SVHLD,0.3167701863354037,0.30538538676308596,0.24264608861065393,0.3753363195278196,fit
20116,Calvin Faucher,2025,SVHLD,0.36464088397790057,0.3418447526128041,0.2665432860412286,0.42783922933698015,fit
16061,Cam Booser,2024,SVHLD,0.140625,0.15416211525635803,0.10437563462332419,0.21363421784342035,fit
16061,Cam Booser,2025,SVHLD,0.2903225806451613,0.16322069281693388,0.10359334677585601,0.23784230496759923,fit
21992,Camilo Doval,2021,SVHLD,0.2962962962962963,0.1629980712156276,0.12800809515737546,0.20386471800168116,fit
21992,Camilo Doval,2022,SVHLD,0.41379310344827586,0.493857113287256,0.41254371678359403,0.5834877270542271,fit
21992,Camilo Doval,2023,SVHLD,0.5763546798029556,0.47698891071564836,0.4120239741263313,0.5481510732924275,fit
21992,Camilo Doval,2024,SVHLD,0.4745762711864407,0.4484935686925944,0.3842527058148229,0.518256747696791,fit
21992,Camilo Doval,2025,SVHLD,0.39795918367346944,0.4209783629015589,0.3454816900067552,0.5022851642434473,fit
14542,Carlos Estévez,2019,SVHLD,0.1527777777777778,0.22543198748033355,0.1758158529372558,0.28113768628018687,fit
14542,Carlos Estévez,2020,SVHLD,0.2916666666666667,0.272821412530024,0.22398114932102794,0.3262437043837843,fit
14542,Carlos Estévez,2021,SVHLD,0.42162162162162165,0.3243915040605744,0.2781335794866317,0.37386199808414544,fit
14542,Carlos Estévez,2022,SVHLD,0.2631578947368421,0.38749620197221785,0.3391868408614716,0.4389662582548006,fit
14542,Carlos Estévez,2023,SVHLD,0.5294117647058824,0.45381339582763836,0.3970692237150672,0.5152002704731073,fit
14542,Carlos Estévez,2024,SVHLD,0.4727272727272727,0.5169294580699761,0.44015593863293423,0.6006665750662711,fit
14542,Carlos Estévez,2025,SVHLD,0.6363636363636364,0.5873115967204134,0.4764815834392737,0.7084928472946818,fit
11847,Chris Martin,2018,SVHLD,0.336,0.32484929361621784,0.26450772980455406,0.393065875793792,fit
11847,Chris Martin,2019,SVHLD,0.39520958083832336,0.3390526706274782,0.28341947788830146,0.39895919644864997,fit
11847,Chris Martin,2021,SVHLD,0.32307692307692304,0.35845647283237064,0.3077130141628249,0.4117010599606182,fit
11847,Chris Martin,2022,SVHLD,0.19642857142857142,0.36674435903042313,0.31222729217919626,0.4230100185003637,fit
11847,Chris Martin,2023,SVHLD,0.5064935064935064,0.36768813002492357,0.307107727946068,0.4327190341961467,fit
11847,Chris Martin,2024,SVHLD,0.38345864661654133,0.35839476352478905,0.2903212728132128,0.4337230582826512,fit
11847,Chris Martin,2025,SVHLD,0.3543307086614173,0.3483515194860547,0.27196473431596646,0.4349888438095171,fit
27494,Clayton Beeter,2025,SVHLD,0.39473684210526316,0.3658396414103876,0.24114345313654634,0.5126933620407975,fit
27570,Cole Henry,2025,SVHLD,0.2088607594936709,0.22839000681285038,0.15493181993012603,0.31488613231938434,fit
22113,Cole Winn,2025,SVHLD,0.096,0.1051606067962636,0.06202406135872336,0.16047280078319756,fit
27914,Daniel Palencia,2023,SVHLD,0.07058823529411765,0.1349236791105921,0.09135922160711717,0.18568407795248315,fit
27914,Daniel Palencia,2025,SVHLD,0.5316455696202532,0.4380441730360481,0.3286722810128416,0.5591602644036543,fit
