playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
18655,A.J. Minter,2018,W,0.06521739130434782,0.05297010393482616,0.03770275973891965,0.07115280164262834,fit
18655,A.J. Minter,2019,W,0.10227272727272728,0.053720370322590597,0.04071992316788188,0.06883210679669527,fit
18655,A.J. Minter,2020,W,0.04615384615384615,0.07848295653120402,0.06022535215865797,0.10013605700780581,fit
18655,A.J. Minter,2021,W,0.057324840764331204,0.07757628159363696,0.0637091910717786,0.09285297797892256,fit
18655,A.J. Minter,2022,W,0.07142857142857142,0.06951648061435788,0.05818139112436941,0.0824464937212364,fit
18655,A.J. Minter,2023,W,0.04639175257731958,0.07223773382814015,0.060029953476355195,0.08618521823534421,fit
18655,A.J. Minter,2024,W,0.14563106796116504,0.07110974229384669,0.057425936169273606,0.08640236067921728,fit
23550,Aaron Ashby,2021,W,0.09473684210526316,0.0733189553032527,0.048413343132473495,0.10462431416074555,fit
23550,Aaron Ashby,2024,W,0.03529411764705882,0.06700752368703679,0.05258985703356062,0.08376358980134253,fit
23550,Aaron Ashby,2025,W,0.075,0.06517415448460209,0.052445838930703884,0.0796182364492261,fit
25327,Abner Uribe,2023,W,0.03260869565217391,0.07903626518772876,0.05169708729973292,0.11156163261040712,fit
25327,Abner Uribe,2025,W,0.03982300884955752,0.0706028039989916,0.05261498006878108,0.0914001648466402,fit
20039,Adrian Morejon,2022,W,0.14705882352941177,0.082656098488541,0.056467036862187486,0.11661965858781745,fit
20039,Adrian Morejon,2024,W,0.04712041884816754,0.07989472795561911,0.061384094973762085,0.10268334864466601,fit
20039,Adrian Morejon,2025,W,0.1764705882352941,0.07560682299489545,0.06010118010833628,0.09493248180188264,fit
25007,Alex Vesia,2021,W,0.075,0.07865405308505517,0.05834848982252836,0.10205978348897332,fit
25007,Alex Vesia,2022,W,0.09202453987730061,0.06962528157063028,0.05462974218825578,0.0869213970921744,fit
25007,Alex Vesia,2023,W,0.04026845637583893,0.07148248224076224,0.05843527885629588,0.08603600192568865,fit
25007,Alex Vesia,2024,W,0.07537688442211056,0.0695503004072516,0.057759441250973875,0.08249207990980882,fit
25007,Alex Vesia,2025,W,0.0670391061452514,0.06689823046131214,0.05482905579716531,0.0805029036163504,fit
21132,Alexis Díaz,2022,W,0.1099476439790576,0.08463978109111017,0.0637187836736755,0.10934230601314225,fit
21132,Alexis Díaz,2023,W,0.13366336633663367,0.08102985082669817,0.06393831815013686,0.10062554755929909,fit
21132,Alexis Díaz,2024,W,0.03550295857988166,0.07353285732037342,0.0597933321802883,0.08912233159474683,fit
12828,Andrew Kittredge,2018,W,0.07826086956521738,0.042416959769240786,0.033655935380317005,0.052224136045476835,fit
12828,Andrew Kittredge,2019,W,0.020134228187919465,0.04575068558597162,0.037211547206287776,0.0553393122457753,fit
12828,Andrew Kittredge,2021,W,0.1255813953488372,0.07463055713304817,0.06053588881984112,0.09044342496271818,fit
12828,Andrew Kittredge,2022,W,0.15,0.07107402384930583,0.05617520463601623,0.08805456509979477,fit
12828,Andrew Kittredge,2024,W,0.07075471698113207,0.0819959830118453,0.059808129602549116,0.1088312836303902,fit
12828,Andrew Kittredge,2025,W,0.07547169811320754,0.08468269012583758,0.05863466317886128,0.11678561524130704,fit
25942,Andrew Nardi,2023,W,0.13953488372093023,0.07598643982267274,0.05434493997880763,0.10274824522441411,fit
25942,Andrew Nardi,2024,W,0.06040268456375839,0.07126434758634645,0.053682607329989765,0.0921203745093357,fit
26203,Andrew Saalfrank,2025,W,0.06896551724137931,0.07144023136931776,0.054111038815775565,0.0927324340536316,fit
20373,Andrés Muñoz,2019,W,0.043478260869565216,0.05023925734187846,0.029652231480348068,0.0764121439847605,fit
20373,Andrés Muñoz,2022,W,0.03076923076923077,0.06678347564852853,0.04815124380428617,0.08837106430180128,fit
20373,Andrés Muñoz,2023,W,0.08163265306122448,0.07006021291468671,0.052780947446417065,0.09000224251496487,fit
20373,Andrés Muñoz,2024,W,0.05056179775280899,0.06961297548402227,0.05421438809239458,0.08647168709622446,fit
20373,Andrés Muñoz,2025,W,0.0481283422459893,0.06832631626750935,0.05464977582933334,0.08338110779190014,fit
19742,Anthony Bender,2021,W,0.048913043478260865,0.07213094050828343,0.05485883237628608,0.0915987977015641,fit
19742,Anthony Bender,2024,W,0.09433962264150944,0.0656231035311683,0.054362822240965634,0.07842709201469067,fit
19742,Anthony Bender,2025,W,0.06,0.06372869404966357,0.051261685613229156,0.07806943131766368,fit
10233,Aroldis Chapman,2018,W,0.05844155844155844,0.06500816577842072,0.05213760708308408,0.07918469811554782,fit
10233,Aroldis Chapman,2019,W,0.05263157894736842,0.06592789375594063,0.053577628853820974,0.08018691576908159,fit
10233,Aroldis Chapman,2021,W,0.10650887573964496,0.09494816493434355,0.07610880649709979,0.11602601355401176,fit
10233,Aroldis Chapman,2022,W,0.11009174311926605,0.08492683210916553,0.06625593477546472,0.1054148018488053,fit
10233,Aroldis Chapman,2023,W,0.10285714285714286,0.08798085007105262,0.0665285965367626,0.11202457464053535,fit
10233,Aroldis Chapman,2024,W,0.08108108108108109,0.0863094278093974,0.0634407410647636,0.11298092598873526,fit
10233,Aroldis Chapman,2025,W,0.08152173913043478,0.0836102219574161,0.05902091437437447,0.11337696501830015,fit
31461,Ben Joyce,2024,W,0.057692307692307696,0.06777230145219236,0.043341776597205235,0.09804077086229006,fit
21345,Bennett Sousa,2022,W,0.14754098360655737,0.05293653353402396,0.0404631337309254,0.0674626768026096,fit
