playerid,PlayerName,Season,metric,observed,fitted_mean,fitted_p05,fitted_p95,type
29911,Andrew Abbott,2023,ERA,3.8689024390243905,3.9151593694616302,3.4867443073286393,4.368378229186226,fit
29911,Andrew Abbott,2024,ERA,3.717391304347826,3.651364406534063,3.339679280539277,3.968908950989296,fit
29911,Andrew Abbott,2025,ERA,2.8677354709418834,3.6421104148873034,3.3137993617919053,3.9800183340940336,fit
29914,Andrew Alvarez,2025,ERA,2.3142857142857145,3.8451830232738295,3.0148212907071352,4.790887999547734,fit
13543,Blake Snell,2018,ERA,1.8929889298892992,3.035620072144365,2.730183558451171,3.351802710956771,fit
13543,Blake Snell,2019,ERA,4.289719626168225,3.2166278073100014,2.9468704740054803,3.4983461243688447,fit
13543,Blake Snell,2020,ERA,3.2399999999999998,3.10372855969848,2.861788306840451,3.350769535831463,fit
13543,Blake Snell,2021,ERA,4.196891191709845,3.0155334400293277,2.814799131687308,3.2292912642120566,fit
13543,Blake Snell,2022,ERA,3.375,2.82618533194456,2.6331876046755913,3.035718020476213,fit
13543,Blake Snell,2023,ERA,2.25,3.217991553974027,2.964645003962113,3.4889495281355356,fit
13543,Blake Snell,2024,ERA,3.1153846153846154,3.1446456247612558,2.84732531066833,3.4590613908695054,fit
13543,Blake Snell,2025,ERA,2.3478260869565215,3.2839791979143973,2.9119846283842152,3.681198855972229,fit
26056,Brandon Walter,2025,ERA,3.354037267080746,3.462808629610603,2.8602789390016232,4.1184564207616985,fit
16162,Brandon Woodruff,2019,ERA,3.624657534246575,3.460263702382687,3.0960262474902507,3.8486321517767492,fit
16162,Brandon Woodruff,2020,ERA,3.0542986425339365,3.200027462167401,2.913987963003629,3.497576887325663,fit
16162,Brandon Woodruff,2021,ERA,2.5594795539033455,2.980652450805897,2.7599404195006993,3.215173817070705,fit
16162,Brandon Woodruff,2022,ERA,3.052173913043478,2.6787785862477973,2.464892034605669,2.9053549680606414,fit
16162,Brandon Woodruff,2023,ERA,2.283582089552239,2.925483854253699,2.6410309244435144,3.228465080693308,fit
16162,Brandon Woodruff,2025,ERA,3.2010309278350513,2.748316248875785,2.3374482756205897,3.191543001141777,fit
21844,Braxton Garrett,2021,ERA,5.029411764705882,4.6079017475618596,3.9638082975041016,5.298954125679815,fit
21844,Braxton Garrett,2022,ERA,3.579545454545454,4.025665905205667,3.5970715155033517,4.467630526887512,fit
21844,Braxton Garrett,2023,ERA,3.663883089770355,4.276425316993608,3.8905858753454674,4.68218208407571,fit
21844,Braxton Garrett,2024,ERA,5.351351351351352,3.902145362124871,3.5015572423936723,4.343593380480488,fit
23920,Brayan Bello,2022,ERA,4.709302325581395,4.331920636952154,3.8283371803019555,4.861489765540018,fit
23920,Brayan Bello,2023,ERA,4.24203821656051,4.55033895416689,4.159540879342953,4.957882756240793,fit
23920,Brayan Bello,2024,ERA,4.490759753593429,4.104522616365783,3.8031187056526634,4.418170629814934,fit
23920,Brayan Bello,2025,ERA,3.348,3.958629455646153,3.6191945973585247,4.317181310800686,fit
30279,Bryan Woo,2023,ERA,4.2091254752851714,3.413613381404685,2.9936578057523815,3.8469086421987693,fit
30279,Bryan Woo,2024,ERA,2.8928571428571432,3.1312657132798996,2.8292377473715127,3.4404954398427243,fit
30279,Bryan Woo,2025,ERA,2.941071428571429,3.0716960574937775,2.7799181338045655,3.372186965051067,fit
31872,Cade Horton,2025,ERA,2.669491525423729,3.2979431774321393,2.8007546334094924,3.8371400315678468,fit
32095,Cam Schlittler,2025,ERA,2.958904109589041,3.534817340469735,2.9428070438140006,4.186803254897873,fit
16137,Carlos Rodón,2018,ERA,4.176795580110497,3.8069323706727354,3.379090901485418,4.257066372217369,fit
16137,Carlos Rodón,2019,ERA,5.1923076923076925,3.9223174644659493,3.5510154123240407,4.307317956447939,fit
16137,Carlos Rodón,2021,ERA,2.374371859296483,3.4759962130817073,3.2424419937439923,3.7189327627398865,fit
16137,Carlos Rodón,2022,ERA,2.8820224719101124,3.1673868962660228,2.9703678055213625,3.374584185760736,fit
16137,Carlos Rodón,2023,ERA,6.8549222797927465,3.506426428855231,3.261942616341107,3.7463616223703524,fit
16137,Carlos Rodón,2024,ERA,3.96,3.3313143345918466,3.065546051452611,3.5984945902720673,fit
16137,Carlos Rodón,2025,ERA,3.087030716723549,3.382150752619276,3.0673944428831894,3.714365408039788,fit
30113,Chad Patrick,2025,ERA,3.5348189415041777,4.034512792874771,3.5257271030103423,4.601621880725739,fit
10603,Chris Sale,2018,ERA,2.107594936708861,2.976005348446855,2.694543857976763,3.2775231880282973,fit
10603,Chris Sale,2019,ERA,4.398190045248868,3.156941197471401,2.8868913746648297,3.4348253435269993,fit
10603,Chris Sale,2021,ERA,3.1640625,2.9652566000158393,2.7412077014565854,3.1945485080279425,fit
10603,Chris Sale,2023,ERA,4.295454545454545,3.1696333973110935,2.891339800696446,3.4469041539479535,fit
10603,Chris Sale,2024,ERA,2.380863039399625,3.0997246262082903,2.7943955628899344,3.409073166281906,fit
10603,Chris Sale,2025,ERA,2.578249336870026,3.239233711875786,2.873098566190347,3.6160768434836497,fit
19899,Clarke Schmidt,2023,ERA,4.6415094339622645,4.34713440806772,3.9153068595112837,4.801965347389033,fit
19899,Clarke Schmidt,2024,ERA,2.84765625,3.906641287020422,3.541258884714292,4.286354918693435,fit
19899,Clarke Schmidt,2025,ERA,3.3177966101694913,3.7564133560606505,3.3017326441016084,4.2387276562378755,fit
27597,Cody Bradford,2024,ERA,3.537117903930131,3.4646575023714403,2.923521412852571,4.056051043189759,fit
21846,Cole Ragans,2022,ERA,4.95,4.096929743077603,3.468562294036087,4.807770163239791,fit
21846,Cole Ragans,2024,ERA,3.1395348837209296,3.697157817575247,3.3382920906085847,4.058927100281619,fit
21846,Cole Ragans,2025,ERA,4.6702702702702705,3.4827176425321267,3.108937150934379,3.8675996265012706,fit
19361,Corbin Burnes,2020,ERA,2.111731843575419,2.76095739898768,2.441750741699883,3.111975140795709,fit
19361,Corbin Burnes,2021,ERA,2.4251497005988023,2.7601288346654136,2.5198066931829883,3.0168844037108844,fit
19361,Corbin Burnes,2022,ERA,2.9405940594059405,2.6624889330259744,2.4747423067598597,2.863058297970953,fit
