playerid,PlayerName,Season,metric,observed,fitted_mean,fitted_p05,fitted_p95,type
29911,Andrew Abbott,2023,WHIP,1.3170731707317076,1.2480497827989472,1.1673631810437644,1.3336322463938424,fit
29911,Andrew Abbott,2024,WHIP,1.2971014492753623,1.2048926787310614,1.1458584812918908,1.2681246821845074,fit
29911,Andrew Abbott,2025,WHIP,1.1482965931863727,1.1978814591634288,1.1346768306820352,1.264664868122708,fit
29914,Andrew Alvarez,2025,WHIP,1.1142857142857143,1.2282733807433477,1.0627748796121899,1.4080328551044121,fit
21224,Bailey Ober,2021,WHIP,1.2021660649819497,1.131846346873515,1.051171054824394,1.213542608167679,fit
21224,Bailey Ober,2022,WHIP,1.0535714285714286,1.1221402211425364,1.0608515211196674,1.184657818474303,fit
21224,Bailey Ober,2023,WHIP,1.066974595842956,1.1806422902429488,1.1302193607389337,1.2332890464530557,fit
21224,Bailey Ober,2024,WHIP,1.001865671641791,1.1718374240306149,1.1217838659345796,1.2247112379567104,fit
21224,Bailey Ober,2025,WHIP,1.298405466970387,1.1936794206984753,1.1280280174800823,1.2604131919645019,fit
26056,Brandon Walter,2025,WHIP,0.9316770186335405,1.1023179334260358,0.9910020915882223,1.2195090462889753,fit
16162,Brandon Woodruff,2019,WHIP,1.1424657534246574,1.1084503579088776,1.042110774408215,1.1787448325224406,fit
16162,Brandon Woodruff,2020,WHIP,0.9909502262443438,1.0574879758123306,1.0041464945290688,1.1142830444055716,fit
16162,Brandon Woodruff,2021,WHIP,0.9646840148698884,1.0127290131334339,0.9689372266756012,1.0587547212236763,fit
16162,Brandon Woodruff,2022,WHIP,1.0695652173913044,0.980588459959324,0.9343305735762227,1.0275237661895051,fit
16162,Brandon Woodruff,2023,WHIP,0.8208955223880597,1.0109696694617487,0.9540909435711167,1.0701994233040004,fit
16162,Brandon Woodruff,2025,WHIP,0.9123711340206185,0.9789354946634337,0.8954084318868649,1.067688556512227,fit
21844,Braxton Garrett,2021,WHIP,1.8235294117647058,1.2788077768955324,1.1783154165164234,1.3863328498589154,fit
21844,Braxton Garrett,2022,WHIP,1.25,1.2222358311246115,1.1494008656108716,1.2989101460413777,fit
