playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
29960,AJ Smith-Shawver,2023,H,0.6710526315789473,0.923445962251474,0.8013711132007677,1.050759132519656,fit
29960,AJ Smith-Shawver,2025,H,0.9473684210526315,0.8851687393839405,0.7905276707021414,0.9856573266456368,fit
29911,Andrew Abbott,2023,H,0.9146341463414636,0.8988414948812952,0.8388237738118198,0.962100636584259,fit
29911,Andrew Abbott,2024,H,0.9202898550724637,0.8784135238461817,0.8295557371629565,0.9266480091358135,fit
29911,Andrew Abbott,2025,H,0.8897795591182365,0.8759205423041992,0.8251567280150854,0.9281145271836658,fit
29914,Andrew Alvarez,2025,H,0.6857142857142857,0.8767140105027741,0.7573359424356745,1.0064896057569992,fit
13543,Blake Snell,2018,H,0.6199261992619928,0.733756248947766,0.6877582515205727,0.7809725140239286,fit
13543,Blake Snell,2019,H,0.897196261682243,0.7489998772606744,0.7085359724246362,0.7913054791117418,fit
13543,Blake Snell,2020,H,0.84,0.7211437314480185,0.6862783389803491,0.757142191832152,fit
13543,Blake Snell,2021,H,0.7849740932642487,0.7122461903504018,0.6811694454403311,0.7440745874406212,fit
13543,Blake Snell,2022,H,0.8046875,0.7105304562305454,0.6785636152172838,0.7432896805654026,fit
13543,Blake Snell,2023,H,0.6388888888888888,0.7406039985801763,0.7026225242045265,0.7784520956014086,fit
13543,Blake Snell,2024,H,0.625,0.7343476160454712,0.6912396064701153,0.7782125427958242,fit
13543,Blake Snell,2025,H,0.8315217391304347,0.7427775547711548,0.6910297808956753,0.7965334590139941,fit
26056,Brandon Walter,2025,H,0.8571428571428572,0.8892428019654981,0.7954045570196403,0.9866543685604853,fit
16162,Brandon Woodruff,2019,H,0.895890410958904,0.8374920162735058,0.785178065509592,0.8937600054205972,fit
16162,Brandon Woodruff,2020,H,0.7466063348416289,0.7904228474377646,0.7484798694354838,0.8355230834898545,fit
16162,Brandon Woodruff,2021,H,0.724907063197026,0.7653093742451562,0.7286969742854765,0.8035715837363685,fit
16162,Brandon Woodruff,2022,H,0.7956521739130434,0.7484914041886426,0.7105471422920026,0.787297860213299,fit
16162,Brandon Woodruff,2023,H,0.5970149253731343,0.7649274801995841,0.7191342416803426,0.8134668932361426,fit
16162,Brandon Woodruff,2025,H,0.6958762886597938,0.7376155899738611,0.6708503590530646,0.806595420885812,fit
30279,Bryan Woo,2023,H,0.8555133079847909,0.8490355384031506,0.7858382026777077,0.9145243355348931,fit
30279,Bryan Woo,2024,H,0.7912087912087913,0.8207723579977123,0.7696736222119055,0.871810679913286,fit
30279,Bryan Woo,2025,H,0.7339285714285716,0.8095856787740315,0.7597294291091973,0.8593332379187535,fit
31872,Cade Horton,2025,H,0.8050847457627118,0.8286693311831688,0.7523528081034939,0.9092574343543264,fit
