playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
29911,Andrew Abbott,2023,QS,0.08231707317073172,0.07118751680291634,0.05776650531266399,0.08659344309929908,fit
29911,Andrew Abbott,2024,QS,0.06521739130434782,0.07386368597170265,0.061392505288090586,0.08732804675655,fit
29911,Andrew Abbott,2025,QS,0.06613226452905811,0.07248509560915953,0.06068648574611354,0.0855050711296424,fit
29914,Andrew Alvarez,2025,QS,0.04285714285714286,0.06860688184316649,0.04872119605201317,0.09311725987684291,fit
13050,Anthony DeSclafani,2018,QS,0.043478260869565216,0.07152064596442367,0.05947766871835345,0.08482822543526007,fit
13050,Anthony DeSclafani,2019,QS,0.066,0.0706971576331598,0.05986249918162997,0.08230881952755831,fit
13050,Anthony DeSclafani,2020,QS,0.029702970297029705,0.06874801977261143,0.05750005035337242,0.08062879394078823,fit
13050,Anthony DeSclafani,2021,QS,0.08946322067594434,0.072952242828689,0.060806143937507766,0.08591847590658823,fit
13050,Anthony DeSclafani,2023,QS,0.08026755852842808,0.0735724233961057,0.05801305404916967,0.09139736357455351,fit
13543,Blake Snell,2018,QS,0.10516605166051662,0.09365162162200866,0.07801785896833464,0.11093160967826994,fit
13543,Blake Snell,2019,QS,0.09345794392523364,0.09015448966542461,0.07699597129475777,0.10413912847772228,fit
13543,Blake Snell,2020,QS,0,0.08533557900638027,0.07330551621524493,0.09858036351198193,fit
13543,Blake Snell,2021,QS,0.05440414507772021,0.08813765375121291,0.07673815373962548,0.10052555633354075,fit
13543,Blake Snell,2022,QS,0.0859375,0.09023312284028207,0.07845163415425094,0.10343248663443781,fit
13543,Blake Snell,2023,QS,0.1111111111111111,0.08410836911129257,0.07202964601922374,0.09786837047679099,fit
13543,Blake Snell,2024,QS,0.09615384615384616,0.08194869081809608,0.06849983836893445,0.09718173059893516,fit
13543,Blake Snell,2025,QS,0.08152173913043478,0.07543527402225772,0.061270211916570685,0.09155218431066071,fit
25377,Brady Singer,2020,QS,0.04663212435233161,0.05872898969725717,0.04698945848413966,0.07235153502684114,fit
25377,Brady Singer,2021,QS,0.07792207792207792,0.06420002529489754,0.053668674954802,0.07594083884004167,fit
25377,Brady Singer,2022,QS,0.09130434782608696,0.0695991647399576,0.05957180696231151,0.0808063568721655,fit
25377,Brady Singer,2023,QS,0.05636743215031315,0.06870823345174502,0.05975384205878081,0.0785858335773803,fit
25377,Brady Singer,2024,QS,0.07235621521335807,0.0709249412191692,0.06154563582048191,0.08115198024693286,fit
25377,Brady Singer,2025,QS,0.08840864440078586,0.06918934799155968,0.05888934409193054,0.08084094858567936,fit
26056,Brandon Walter,2025,QS,0.11180124223602485,0.08638760747401085,0.06562000578312872,0.11120339513113695,fit
16162,Brandon Woodruff,2019,QS,0.08219178082191779,0.0897366706990126,0.0747374306238065,0.10598235441911096,fit
16162,Brandon Woodruff,2020,QS,0.08144796380090497,0.0895875992332928,0.07573067393331154,0.10459483752854717,fit
16162,Brandon Woodruff,2021,QS,0.11152416356877323,0.09762504297532579,0.08425916101357522,0.11199464686017906,fit
16162,Brandon Woodruff,2022,QS,0.09782608695652173,0.10549534786493549,0.09031010685507992,0.12140489786949682,fit
16162,Brandon Woodruff,2023,QS,0.1044776119402985,0.10382438241737672,0.08727317838755622,0.12184156423376381,fit
16162,Brandon Woodruff,2025,QS,0.09278350515463916,0.10391873055752422,0.08121966529170573,0.12951979263882596,fit
21844,Braxton Garrett,2021,QS,0.029411764705882353,0.05770303700446751,0.044691613486399634,0.07238262406179172,fit
21844,Braxton Garrett,2022,QS,0.056818181818181816,0.0648046271309183,0.052052177102241984,0.07848553053403186,fit
21844,Braxton Garrett,2023,QS,0.06263048016701461,0.06634615836307266,0.054452261996394184,0.07918711608060072,fit
21844,Braxton Garrett,2024,QS,0.05405405405405406,0.07108828071358066,0.058230096164243746,0.08573874660895013,fit
23920,Brayan Bello,2022,QS,0.03488372093023256,0.0640693048841993,0.05098878387843273,0.07944639583586455,fit
23920,Brayan Bello,2023,QS,0.09554140127388536,0.06562407599577708,0.054011716998579255,0.07825310898306737,fit
23920,Brayan Bello,2024,QS,0.061601642710472276,0.07032313165371044,0.059111903497702865,0.0825488955201081,fit
23920,Brayan Bello,2025,QS,0.096,0.07125501622807953,0.05986952357457819,0.08397357414634986,fit
30279,Bryan Woo,2023,QS,0.04562737642585551,0.08709417425873697,0.06994529491922705,0.10596491110656492,fit
30279,Bryan Woo,2024,QS,0.08241758241758243,0.09158580893401244,0.07575752815225853,0.10892665262619333,fit
