playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
23550,Aaron Ashby,2022,SO,1.173913043478261,1.073934421885216,0.9434004011668409,1.2096130090085697,fit
29914,Andrew Alvarez,2025,SO,0.8571428571428572,0.9681115287399105,0.7897207786483186,1.1685463583582192,fit
23590,Ben Brown,2024,SO,1.1566265060240963,1.0658035578400027,0.9474837736552808,1.1902754297624385,fit
23590,Ben Brown,2025,SO,1.137931034482759,1.0436655169072624,0.9364265292670907,1.1565593330288486,fit
13543,Blake Snell,2018,SO,1.223247232472325,1.2378034175346437,1.1457776038014742,1.3327521955446953,fit
13543,Blake Snell,2019,SO,1.3738317757009346,1.3144527591603647,1.2331242306330492,1.3979597386194775,fit
13543,Blake Snell,2020,SO,1.26,1.3429691004902637,1.2691944808137632,1.4164022912825065,fit
13543,Blake Snell,2021,SO,1.3212435233160622,1.3708828634622157,1.3060445721514609,1.4373024227368747,fit
13543,Blake Snell,2022,SO,1.3359375,1.2996538105641817,1.235553015835639,1.363380871903194,fit
13543,Blake Snell,2023,SO,1.3,1.305075938150389,1.2313329504319535,1.3813457274033107,fit
13543,Blake Snell,2024,SO,1.3942307692307692,1.2798501310059294,1.192675560020366,1.3692445996131921,fit
13543,Blake Snell,2025,SO,1.1739130434782608,1.2524655651642418,1.1499381337469405,1.3604375915642486,fit
26056,Brandon Walter,2025,SO,0.968944099378882,0.9595760923541892,0.8192718350451308,1.1126809651911338,fit
16162,Brandon Woodruff,2019,SO,1.1753424657534244,1.1568549342960033,1.0635731017585484,1.2552317535811905,fit
16162,Brandon Woodruff,2020,SO,1.2352941176470587,1.195852227374314,1.1163464394749516,1.2783725707679425,fit
16162,Brandon Woodruff,2021,SO,1.1765799256505576,1.2352351641729231,1.1676407455887847,1.3067160302799745,fit
16162,Brandon Woodruff,2022,SO,1.2391304347826086,1.1851405538865067,1.1169112980334053,1.2575040935025412,fit
16162,Brandon Woodruff,2023,SO,1.1044776119402986,1.2045591529778794,1.1214495242773073,1.2944890489823282,fit
16162,Brandon Woodruff,2025,SO,1.2835051546391751,1.1846769533121762,1.0605637206404728,1.318993588545783,fit
21844,Braxton Garrett,2021,SO,0.9411764705882353,0.9862479817588864,0.8816077922907148,1.0985128797490185,fit
21844,Braxton Garrett,2022,SO,1.0227272727272727,0.9470041325347647,0.8629154299444126,1.0327623418286742,fit
21844,Braxton Garrett,2023,SO,0.977035490605428,0.9635457048382188,0.8861909104272007,1.0441551218761855,fit
21844,Braxton Garrett,2024,SO,0.918918918918919,0.9578426722615417,0.8722295967862668,1.0465454878508664,fit
30279,Bryan Woo,2023,SO,1.0608365019011405,0.9904539105038463,0.8997517979390421,1.0871101287955185,fit
30279,Bryan Woo,2024,SO,0.8324175824175826,1.0012380844498827,0.9248146987859075,1.0826421332714355,fit
30279,Bryan Woo,2025,SO,1.060714285714286,1.0103440206441485,0.9347263984841848,1.0884873664221966,fit
32095,Cam Schlittler,2025,SO,1.1506849315068493,1.109685200965237,0.9521029872261902,1.2787674119797723,fit
16137,Carlos Rodón,2018,SO,0.7458563535911601,1.0469392715282695,0.9511568319373576,1.1478010964633787,fit
16137,Carlos Rodón,2019,SO,1.326923076923077,1.121636550927013,1.0339398309854362,1.211908967638054,fit
16137,Carlos Rodón,2021,SO,1.3944723618090453,1.190644542011266,1.1250351974144168,1.2581629013848759,fit
16137,Carlos Rodón,2022,SO,1.3314606741573034,1.1388070689658394,1.0820923830266584,1.1966871321407444,fit
16137,Carlos Rodón,2023,SO,0.994818652849741,1.1537235395137089,1.0953452503397616,1.2144472624114435,fit
16137,Carlos Rodón,2024,SO,1.1142857142857143,1.1414892461529158,1.0741660086998124,1.2113728635222518,fit
16137,Carlos Rodón,2025,SO,1.039249146757679,1.126979552432773,1.0478205137084042,1.2093473300709117,fit
30113,Chad Patrick,2025,SO,1.0612813370473535,1.0082922567014492,0.8920475850654509,1.1330947764061572,fit
35333,Chase Burns,2025,SO,1.546153846153846,1.2613907230608898,1.0570982505828657,1.490917291443354,fit
10603,Chris Sale,2018,SO,1.5,1.3593725494529403,1.2649375817184323,1.4566920281654907,fit
10603,Chris Sale,2019,SO,1.4796380090497736,1.4198842120300303,1.3333163870739013,1.5080520174236522,fit
10603,Chris Sale,2021,SO,1.21875,1.4325156916123345,1.3603083760091155,1.5057569764347316,fit
10603,Chris Sale,2023,SO,1.2175324675324672,1.319036189218639,1.243041513973237,1.394962945546076,fit
10603,Chris Sale,2024,SO,1.2664165103189493,1.2720769050267624,1.190783473435333,1.357751440432081,fit
10603,Chris Sale,2025,SO,1.312997347480106,1.2241864901997457,1.1308168584869975,1.322030713071049,fit
19899,Clarke Schmidt,2023,SO,0.9371069182389937,0.9651397935534979,0.8841534838361921,1.0519833695957055,fit
19899,Clarke Schmidt,2024,SO,1.08984375,0.9726736058095465,0.8970634090293299,1.0536981528651397,fit
19899,Clarke Schmidt,2025,SO,0.9279661016949152,0.978682864059017,0.887529262258362,1.0743217652228128,fit
21846,Cole Ragans,2022,SO,0.675,1.0698065885801982,0.9465367647728055,1.1985557636972475,fit
21846,Cole Ragans,2024,SO,1.1967799642218244,1.1683421150644382,1.0777178835446133,1.263584229000375,fit
21846,Cole Ragans,2025,SO,1.5891891891891892,1.2049018683888157,1.1020457678799036,1.3119488750791821,fit
27649,Connor Phillips,2023,SO,1.2580645161290323,1.0276322647126102,0.8065862232495581,1.2818477356804834,fit
20778,Cristopher Sánchez,2023,SO,0.9664429530201344,0.943358819957801,0.8659745447517944,1.0248242239396137,fit
20778,Cristopher Sánchez,2024,SO,0.8422018348623855,0.9534609653302666,0.8874585647032238,1.0217214137446236,fit
20778,Cristopher Sánchez,2025,SO,1.0495049504950495,0.9620514264796827,0.887777042838669,1.0383024406532757,fit
26389,DJ Herz,2024,SO,1.1954887218045112,1.1177447148652566,0.9695005630276685,1.282264903327059,fit
30056,David Festa,2024,SO,1.1968911917098446,1.031976053339526,0.9048919292776655,1.1691808744151393,fit
30056,David Festa,2025,SO,0.9937499999999999,1.0205279797225573,0.9030174969198622,1.149849952542825,fit
18525,Dylan Cease,2019,SO,1.1095890410958904,1.1277330173752615,1.0269606579086106,1.2328912726914067,fit
18525,Dylan Cease,2020,SO,0.7542857142857142,1.1742431737772958,1.0889937550433226,1.2637173719329293,fit
18525,Dylan Cease,2021,SO,1.364185110663984,1.2216915117492675,1.150840286081708,1.29361067708139,fit
18525,Dylan Cease,2022,SO,1.233695652173913,1.1805057336081766,1.123894482390872,1.23855631909492,fit
18525,Dylan Cease,2023,SO,1.2090395480225988,1.2083014423800749,1.1527989190745251,1.2648603018080258,fit
18525,Dylan Cease,2024,SO,1.1830985915492955,1.2078536185045134,1.1444492210179784,1.272768223893483,fit
18525,Dylan Cease,2025,SO,1.2797619047619047,1.2048952429643516,1.1247063584036436,1.285187845301111,fit
