playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
29960,AJ Smith-Shawver,2023,BB,0.4342105263157895,0.4664795271479707,0.34904852280284304,0.6067011266834833,fit
29960,AJ Smith-Shawver,2025,BB,0.47368421052631576,0.4151135903190972,0.3228477505471977,0.5227276226114215,fit
23550,Aaron Ashby,2022,BB,0.4378881987577641,0.4184768744679058,0.3369131807825124,0.5069684823643212,fit
31900,Adam Mazur,2024,BB,0.6237623762376238,0.5008701619957574,0.38610378995312117,0.6290544701896774,fit
31900,Adam Mazur,2025,BB,0.4,0.47353225330393556,0.3714939000429221,0.5874667001772109,fit
20132,Adam Oller,2022,BB,0.5246636771300449,0.4729723606974925,0.3870056483788177,0.5684552063784479,fit
20132,Adam Oller,2024,BB,0.5196850393700787,0.4699058821882088,0.3791530381372184,0.565941874002489,fit
26410,Alek Manoah,2021,BB,0.3582089552238805,0.3621614928832543,0.312451847401537,0.41548931460367033,fit
26410,Alek Manoah,2022,BB,0.25932203389830516,0.35106355884854995,0.3079934707928489,0.3969781010188062,fit
26410,Alek Manoah,2023,BB,0.6755725190839695,0.38937840645361443,0.34130163904553085,0.4410916740886716,fit
26410,Alek Manoah,2024,BB,0.32876712328767127,0.38932415199448833,0.33369899753004406,0.4486332663288594,fit
13543,Blake Snell,2018,BB,0.35424354243542444,0.40820612073392465,0.3574510861879008,0.46178919528037804,fit
13543,Blake Snell,2019,BB,0.37383177570093457,0.4049162412502763,0.3624297266250392,0.44943831011415475,fit
13543,Blake Snell,2020,BB,0.36,0.4192041744058576,0.3797288640894296,0.46046779153919176,fit
13543,Blake Snell,2021,BB,0.5362694300518135,0.41010862092246236,0.3760071931790102,0.4451988098557805,fit
13543,Blake Snell,2022,BB,0.3984375,0.40230339667067466,0.3684307698175412,0.43716358684691076,fit
13543,Blake Snell,2023,BB,0.55,0.45129353562123636,0.4095712895284903,0.4950611448906194,fit
13543,Blake Snell,2024,BB,0.4230769230769231,0.4560979482042137,0.40580442424118973,0.5079343042659271,fit
13543,Blake Snell,2025,BB,0.42391304347826086,0.48962043324461263,0.42641495488031966,0.55805475313817,fit
20548,Bowden Francis,2025,BB,0.421875,0.39964261374368,0.31008508751658037,0.5015189190614778,fit
15734,Brad Keller,2019,BB,0.4233870967741935,0.4336844905042024,0.378814203999475,0.4900248838847581,fit
15734,Brad Keller,2020,BB,0.31097560975609756,0.4549170117739977,0.405553332611196,0.5063348092438598,fit
15734,Brad Keller,2021,BB,0.4788029925187033,0.4511112001956261,0.4074112469274057,0.4974439788209249,fit
15734,Brad Keller,2022,BB,0.40811455847255373,0.44869167775127844,0.4004862861094032,0.498136019116974,fit
15734,Brad Keller,2023,BB,0.9926470588235293,0.5105103040027409,0.4454103151908175,0.5794702351061614,fit
26419,Bradley Blalock,2024,BB,0.6521739130434783,0.5018857123990309,0.39853284313394294,0.6166214892789338,fit
26419,Bradley Blalock,2025,BB,0.3920454545454546,0.47529594972839184,0.3818046757090854,0.5741550836851878,fit
17968,Brock Burke,2019,BB,0.4125,0.44074687950700053,0.31209295887828276,0.5908169576145321,fit
31508,Caden Dana,2025,BB,0.556701030927835,0.5336131176076698,0.38708690642613613,0.7063766105981465,fit
19312,Cal Quantrill,2019,BB,0.27184466019417475,0.29871017436541364,0.2532279259197333,0.3490311807564549,fit
19312,Cal Quantrill,2021,BB,0.3140311804008909,0.30407548015037483,0.27186190527175796,0.33915615636418434,fit
19312,Cal Quantrill,2022,BB,0.2522361359570661,0.2991393157014545,0.27053157505908887,0.32963887967087524,fit
19312,Cal Quantrill,2023,BB,0.35117056856187284,0.3365660279145276,0.30462968180378897,0.37031563515990334,fit
19312,Cal Quantrill,2024,BB,0.4651685393258427,0.3412120417823936,0.3050527243703397,0.38012574523478015,fit
19312,Cal Quantrill,2025,BB,0.29745042492917845,0.3674899016978042,0.32003502403518186,0.4186643522407201,fit
6632,Carlos Carrasco,2018,BB,0.22395833333333334,0.2624087570312512,0.22982701093837812,0.29791862414565895,fit
6632,Carlos Carrasco,2019,BB,0.2,0.2683509059206109,0.23805349482249227,0.3004181198832048,fit
6632,Carlos Carrasco,2020,BB,0.39705882352941174,0.28640744594671397,0.2563762710064956,0.3181355701938327,fit
6632,Carlos Carrasco,2021,BB,0.33540372670807456,0.28889344464899885,0.25996376766938717,0.31894775431622496,fit
6632,Carlos Carrasco,2022,BB,0.26973684210526316,0.2921758975880361,0.2609476269973655,0.32459375686589914,fit
6632,Carlos Carrasco,2023,BB,0.4222222222222222,0.3379221937284655,0.29779453071247536,0.38015065207914156,fit
6632,Carlos Carrasco,2024,BB,0.31832797427652726,0.35209175768696443,0.30474429741356235,0.40302453958147244,fit
6632,Carlos Carrasco,2025,BB,0.3722627737226278,0.38969202089613697,0.3299119402788152,0.45528494630863536,fit
18311,Carson Fulmer,2018,BB,0.7422680412371133,0.606045041676036,0.45503194885607384,0.7815990333045324,fit
31612,Carson Palmquist,2025,BB,0.7281553398058251,0.6209062585002051,0.4671981045460071,0.7945018439509999,fit
31676,Carson Whisenhunt,2025,BB,0.5142857142857143,0.43449452271087596,0.3110118112358409,0.5800527862533014,fit
14975,Chad Kuhl,2018,BB,0.38823529411764707,0.4469011672831296,0.37594264382062303,0.5229921175209589,fit
14975,Chad Kuhl,2020,BB,0.60431654676259,0.45859922239153156,0.4010431899012218,0.5212838208869731,fit
14975,Chad Kuhl,2021,BB,0.5228215767634855,0.44881588922535687,0.39243252753870167,0.5068278453905686,fit
14975,Chad Kuhl,2022,BB,0.4233576642335766,0.4405868389387644,0.38095841304215433,0.5058629765928043,fit
4676,Charlie Morton,2018,BB,0.38323353293413176,0.31770783403430364,0.2840045284821575,0.35188681682297657,fit
4676,Charlie Morton,2019,BB,0.29280821917808225,0.32684409617663207,0.29635553992961083,0.3574308240743051,fit
4676,Charlie Morton,2020,BB,0.2631578947368421,0.350892225908208,0.3208701097048049,0.38251861365046985,fit
4676,Charlie Morton,2021,BB,0.31238779174147224,0.35596004598938613,0.3283846604738298,0.38399972368771473,fit
4676,Charlie Morton,2022,BB,0.36627906976744184,0.3620263879496415,0.3335238278135389,0.3903275218309301,fit
4676,Charlie Morton,2023,BB,0.5081632653061224,0.4209837126986769,0.38678096581216465,0.45646227334493816,fit
4676,Charlie Morton,2024,BB,0.39314516129032256,0.4409899403400693,0.4002735550556519,0.48356279104532235,fit
4676,Charlie Morton,2025,BB,0.5070422535211268,0.4905889193870146,0.4382144809218673,0.5446356111900426,fit
6895,Chase Anderson,2018,BB,0.36075949367088606,0.35648939759763987,0.3121070802768384,0.40442992158484603,fit
6895,Chase Anderson,2019,BB,0.3597122302158273,0.36118044846764286,0.32071878191886044,0.4048303737843957,fit
6895,Chase Anderson,2020,BB,0.29702970297029707,0.3820098781468527,0.3384859338384969,0.42884392535121285,fit
6895,Chase Anderson,2021,BB,0.4166666666666667,0.3819096842770345,0.33571582260234356,0.4319633606110931,fit
6895,Chase Anderson,2022,BB,0.625,0.38293429085979125,0.3292195372083654,0.44204896026009993,fit
6895,Chase Anderson,2023,BB,0.38223938223938225,0.4390948441803621,0.36940937051476747,0.5180510070817791,fit
33482,Chase Dollander,2025,BB,0.5,0.4964209962838305,0.40148629466098157,0.5976048902500055,fit
13896,Chris Flexen,2021,BB,0.22263450834879409,0.30469079118991627,0.2631552352064392,0.34736678647669117,fit
13896,Chris Flexen,2022,BB,0.37046004842615016,0.30372454015073225,0.2684109382304946,0.34136807685333587,fit
13896,Chris Flexen,2023,BB,0.37133550488599354,0.34640263701619006,0.3059646879396073,0.3879869877028573,fit
13896,Chris Flexen,2024,BB,0.39375,0.35610225313449567,0.3105033298226636,0.40506649456179444,fit
18769,Cody Poteet,2021,BB,0.5217391304347826,0.41005950352044535,0.29864704601169584,0.5437238134603437,fit
26171,Connor Gillispie,2025,BB,0.4230769230769231,0.41434887186751096,0.30334038281203896,0.5459045312780493,fit
27649,Connor Phillips,2023,BB,0.6290322580645161,0.5433169872176106,0.37451409582668904,0.7392332836849607,fit
17606,Cristian Javier,2020,BB,0.3312883435582822,0.3739868206018916,0.3108481721808616,0.4470252464654345,fit
17606,Cristian Javier,2022,BB,0.34977578475336324,0.34983657109600846,0.306584462779142,0.39785697400340203,fit
17606,Cristian Javier,2023,BB,0.38271604938271603,0.38771322556982823,0.34228190313032736,0.4359919706276203,fit
17606,Cristian Javier,2024,BB,0.5480769230769231,0.387330933461879,0.33790091442314335,0.4410558211976596,fit
17606,Cristian Javier,2025,BB,0.40540540540540543,0.41117489286725223,0.3496343724183688,0.4797509034570673,fit
26389,DJ Herz,2024,BB,0.40601503759398494,0.3994879783872045,0.3132111755938176,0.49722348461438687,fit
22207,DL Hall,2024,BB,0.4883720930232558,0.4300518168560383,0.3205555144657196,0.5550299996085712,fit
19206,Dakota Hudson,2019,BB,0.4923664122137405,0.4330293413224778,0.3735991889984007,0.49352264881447777,fit
19206,Dakota Hudson,2020,BB,0.38461538461538464,0.4473699743668359,0.39449282069446107,0.5026758715376176,fit
19206,Dakota Hudson,2022,BB,0.43675417661097854,0.4278790234498187,0.38290695076083636,0.4748744614184485,fit
19206,Dakota Hudson,2023,BB,0.4180327868852459,0.47931240976168743,0.4247907485156612,0.5401025197283323,fit
19206,Dakota Hudson,2024,BB,0.5617977528089888,0.4838260067547073,0.41726410810381886,0.557728091903899,fit
31967,Drew Thorpe,2024,BB,0.47368421052631576,0.4395825053932282,0.33061515479351755,0.5730136655376523,fit
19716,Dustin May,2020,BB,0.2857142857142857,0.34466369798365465,0.2753478123063208,0.4227489278719136,fit
19716,Dustin May,2021,BB,0.2608695652173913,0.33421677040443626,0.2754000273228886,0.4001618809909695,fit
19716,Dustin May,2022,BB,0.4666666666666667,0.3250510003323578,0.2736515238432008,0.38201295566521465,fit
19716,Dustin May,2023,BB,0.3333333333333333,0.3616128587455083,0.3093650491683495,0.4180461871075171,fit
