playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
12272,Aaron Brooks,2019,H,1.0727272727272728,1.114577156533318,1.02448383973129,1.2095818104057927,fit
16149,Aaron Nola,2018,H,0.7017268445839873,0.7916719256669538,0.7473960607235989,0.8370446158429856,fit
16149,Aaron Nola,2019,H,0.8698517298187807,0.8359880433702553,0.7965010313174763,0.8759665799572667,fit
16149,Aaron Nola,2020,H,0.7570093457943926,0.8318684953245097,0.79751552000055,0.8677620195158158,fit
16149,Aaron Nola,2021,H,0.9132841328413286,0.8479060285371975,0.8185746244136727,0.8781413256398135,fit
16149,Aaron Nola,2022,H,0.8195121951219512,0.8737347446206747,0.8432650439625785,0.9048964750931345,fit
16149,Aaron Nola,2023,H,0.9191049913941483,0.9401095354359268,0.9034114620716233,0.9780273100246532,fit
16149,Aaron Nola,2024,H,0.9481605351170567,0.962287098408047,0.9179379939728063,1.0085122651190614,fit
16149,Aaron Nola,2025,H,1.049469964664311,1.0035955791827107,0.9468380000471737,1.06353119689873,fit
31900,Adam Mazur,2024,H,1.1881188118811883,1.1781194743700723,1.045272994000675,1.3154717988801419,fit
31900,Adam Mazur,2025,H,1.1,1.1320898955437788,1.0170168712742778,1.250317427273875,fit
20132,Adam Oller,2022,H,1.1031390134529149,1.111016893925616,1.017656872605295,1.2078626411680031,fit
20132,Adam Oller,2024,H,1.015748031496063,1.103844746149773,0.997459343875313,1.2157488886726444,fit
13781,Alex Wood,2018,H,0.942857142857143,0.9395645462394626,0.8793059307011506,1.0013745965571637,fit
13781,Alex Wood,2019,H,1.1495327102803738,0.985057470941488,0.9330664506171104,1.0402485859087505,fit
13781,Alex Wood,2021,H,0.9014423076923077,0.9850642161481535,0.9352347306525154,1.0368144154469718,fit
13781,Alex Wood,2022,H,1.0102040816326532,1.0080274070299506,0.9495076171312582,1.0683923570311478,fit
13781,Alex Wood,2024,H,1.2966101694915253,1.09512825180307,1.0016031772493135,1.1935767102173642,fit
15423,Andrew Heaney,2018,H,0.95,0.9330559854261595,0.8817752425574416,0.9875642130407756,fit
15423,Andrew Heaney,2019,H,0.9755244755244757,0.9653052074227626,0.9187560769704052,1.0132587751894673,fit
15423,Andrew Heaney,2020,H,0.945,0.9410714894066005,0.8989150854989577,0.9844745154645672,fit
15423,Andrew Heaney,2021,H,1.0025706940874037,0.9397420381654913,0.9034403447434801,0.9772326873770064,fit
15423,Andrew Heaney,2022,H,0.8256880733944953,0.9487103014420565,0.9118852393448543,0.9862507587072095,fit
15423,Andrew Heaney,2023,H,0.9705882352941175,1.0000633625994617,0.9564961469097478,1.0452575763223624,fit
15423,Andrew Heaney,2024,H,0.99375,1.0028570798295084,0.9523374074440147,1.0539410309086303,fit
15423,Andrew Heaney,2025,H,1.0544959128065396,1.0246473905770686,0.9640799710014655,1.0859295515229608,fit
15488,Antonio Senzatela,2018,H,1.0405904059040592,1.1050104937196983,1.0339811229074045,1.1761811490166207,fit
15488,Antonio Senzatela,2019,H,1.2914438502673795,1.1604826350064092,1.0990281694822315,1.2235009795905356,fit
15488,Antonio Senzatela,2020,H,0.9681818181818183,1.148493744363315,1.0944484589597678,1.2056754764083424,fit
15488,Antonio Senzatela,2021,H,1.1361702127659574,1.164293818052685,1.1169579022163347,1.2135682282038356,fit
15488,Antonio Senzatela,2022,H,1.4404332129963902,1.1932919524236036,1.1418220317206,1.2453933628695495,fit
15488,Antonio Senzatela,2025,H,1.476923076923077,1.3486465123220215,1.2610367572986003,1.4407441475760174,fit
16561,Austin Gomber,2021,H,0.8843930635838152,1.0310278009774714,0.967064450996642,1.0959335730927917,fit
16561,Austin Gomber,2022,H,1.0989304812834222,1.0630258838819562,1.012054333994628,1.1148637702075774,fit
16561,Austin Gomber,2023,H,1.1798561151079137,1.144584499137624,1.0945632953145938,1.1932913947219088,fit
16561,Austin Gomber,2024,H,1.0787878787878789,1.1725830870350737,1.1127048671538733,1.2301957738383653,fit
16561,Austin Gomber,2025,H,1.4219653179190752,1.2241294866377594,1.1435816131595875,1.3053021408972094,fit
