playerid,PlayerName,Season,metric,observed,fitted_mean,fitted_p05,fitted_p95,type
29911,Andrew Abbott,2023,ERA,3.8689024390243905,3.9148796001999893,3.490970638625841,4.362291920299237,fit
29911,Andrew Abbott,2024,ERA,3.717391304347826,3.6507362189925163,3.342586075969603,3.9620477013902455,fit
29911,Andrew Abbott,2025,ERA,2.8677354709418834,3.64183799017973,3.317127937171158,3.965085312059486,fit
29914,Andrew Alvarez,2025,ERA,2.3142857142857145,3.8440428006367817,3.0078425480507422,4.8177836106680445,fit
13543,Blake Snell,2018,ERA,1.8929889298892992,3.0338741108236835,2.7251219163607603,3.3518027109567705,fit
13543,Blake Snell,2019,ERA,4.289719626168225,3.2144014573042208,2.93971028786744,3.4996351930170513,fit
13543,Blake Snell,2020,ERA,3.2399999999999998,3.102035527471204,2.859040250681329,3.3504512631337713,fit
13543,Blake Snell,2021,ERA,4.196891191709845,3.013749561783535,2.8146186480367916,3.2230846684477705,fit
13543,Blake Snell,2022,ERA,3.375,2.824417680918204,2.63380998762686,3.0336033576228782,fit
13543,Blake Snell,2023,ERA,2.25,3.21629316392971,2.965485439570073,3.486171172845185,fit
13543,Blake Snell,2024,ERA,3.1153846153846154,3.14249329301044,2.845217612870058,3.4551725675252585,fit
13543,Blake Snell,2025,ERA,2.3478260869565215,3.2818697720654173,2.9107588817876517,3.6794066519941246,fit
26056,Brandon Walter,2025,ERA,3.354037267080746,3.4589948823711696,2.8533780712448933,4.130307714998278,fit
16162,Brandon Woodruff,2019,ERA,3.624657534246575,3.4579781106607412,3.0973191894721515,3.8427644139279513,fit
16162,Brandon Woodruff,2020,ERA,3.0542986425339365,3.1994033010960465,2.9135975158604435,3.500941121134525,fit
16162,Brandon Woodruff,2021,ERA,2.5594795539033455,2.9807738807547883,2.759509747501723,3.2180439901632596,fit
16162,Brandon Woodruff,2022,ERA,3.052173913043478,2.6794610652038005,2.4644712375640507,2.9077796960826263,fit
16162,Brandon Woodruff,2023,ERA,2.283582089552239,2.9271653285447874,2.644160781461057,3.2291642125755735,fit
16162,Brandon Woodruff,2025,ERA,3.2010309278350513,2.750560977764863,2.3458092388887515,3.185676459913329,fit
21844,Braxton Garrett,2021,ERA,5.029411764705882,4.604308935406721,3.9737307830793887,5.286641171604256,fit
21844,Braxton Garrett,2022,ERA,3.579545454545454,4.023949485800194,3.59864956589894,4.4543440264131995,fit
21844,Braxton Garrett,2023,ERA,3.663883089770355,4.276649722103905,3.9004684506298903,4.675098172402963,fit
21844,Braxton Garrett,2024,ERA,5.351351351351352,3.903233365616047,3.506123607635452,4.345739417599917,fit
23920,Brayan Bello,2022,ERA,4.709302325581395,4.333354310652517,3.8275193910972494,4.871353642640556,fit
23920,Brayan Bello,2023,ERA,4.24203821656051,4.5526949991912495,4.159422324306189,4.960046176658701,fit
23920,Brayan Bello,2024,ERA,4.490759753593429,4.106381562315183,3.803098065213859,4.423052310192594,fit
23920,Brayan Bello,2025,ERA,3.348,3.960878750792918,3.62341191606657,4.318339696529057,fit
30279,Bryan Woo,2023,ERA,4.2091254752851714,3.412711179519375,2.9865502342365056,3.8366032403824177,fit
30279,Bryan Woo,2024,ERA,2.8928571428571432,3.1310717553005487,2.8300315686960396,3.4367988129027327,fit
30279,Bryan Woo,2025,ERA,2.941071428571429,3.0726443457348545,2.782771355427594,3.3651108214158705,fit
31872,Cade Horton,2025,ERA,2.669491525423729,3.294495944079046,2.7908581495898073,3.8349656859853325,fit
32095,Cam Schlittler,2025,ERA,2.958904109589041,3.5322868236627616,2.941391951700332,4.184183596410884,fit
16137,Carlos Rodón,2018,ERA,4.176795580110497,3.806657843830009,3.3777387582430047,4.257448943347794,fit
16137,Carlos Rodón,2019,ERA,5.1923076923076925,3.922016934775903,3.5510154123240407,4.311015759560608,fit
16137,Carlos Rodón,2021,ERA,2.374371859296483,3.4769700623750466,3.2426008838256752,3.7249453512511184,fit
