playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
29911,Andrew Abbott,2023,QS,0.08231707317073172,0.06831469799319247,0.05441727230343031,0.08322735784235531,fit
29911,Andrew Abbott,2024,QS,0.06521739130434782,0.0728984305696575,0.06033789971079663,0.08615640691045127,fit
29911,Andrew Abbott,2025,QS,0.06613226452905811,0.07262500494345817,0.060504060145211994,0.08542401369433389,fit
29914,Andrew Alvarez,2025,QS,0.04285714285714286,0.06791343187616447,0.04778292535468185,0.0929402385849155,fit
13050,Anthony DeSclafani,2018,QS,0.043478260869565216,0.07234392950588008,0.06051922272584746,0.08509333281631484,fit
13050,Anthony DeSclafani,2019,QS,0.066,0.0717797898622616,0.06097711388085455,0.08333676174366864,fit
13050,Anthony DeSclafani,2020,QS,0.029702970297029705,0.06950435107509367,0.05856954368455793,0.08158707114901045,fit
13050,Anthony DeSclafani,2021,QS,0.08946322067594434,0.07429540506374213,0.06232412510560946,0.08794064375495116,fit
13050,Anthony DeSclafani,2023,QS,0.08026755852842808,0.07436797623777114,0.05885565304718049,0.09314550517654221,fit
13543,Blake Snell,2018,QS,0.10516605166051662,0.09200810999780842,0.07626004128027582,0.1098574964970107,fit
13543,Blake Snell,2019,QS,0.09345794392523364,0.08948845128092776,0.07600800983447814,0.10414627131615554,fit
13543,Blake Snell,2020,QS,0,0.08493784717685765,0.07223986766837667,0.09837666561625574,fit
13543,Blake Snell,2021,QS,0.05440414507772021,0.08890457415515615,0.0776561599311461,0.10104932684341177,fit
13543,Blake Snell,2022,QS,0.0859375,0.0918329957798579,0.07986869813767067,0.10490287782948923,fit
13543,Blake Snell,2023,QS,0.1111111111111111,0.08530429743226345,0.07308251565263729,0.098847851837908507,fit
13543,Blake Snell,2024,QS,0.09615384615384616,0.08311941182925618,0.06915926370442886,0.09825055391811534,fit
13543,Blake Snell,2025,QS,0.08152173913043478,0.0754950873556812,0.060645954789434596,0.09172392182782377,fit
25377,Brady Singer,2020,QS,0.04663212435233161,0.0551120257113316,0.043562706022948386,0.06846183995876687,fit
25377,Brady Singer,2021,QS,0.07792207792207792,0.061998103627527924,0.05131808913195896,0.07415479512749913,fit
25377,Brady Singer,2022,QS,0.09130434782608696,0.06885454863414489,0.058597853492390266,0.08022780731734491,fit
25377,Brady Singer,2023,QS,0.05636743215031315,0.06878537828524332,0.059490891040283704,0.07913507249673424,fit
25377,Brady Singer,2024,QS,0.07235621521335807,0.0720961519847076,0.062104304506387945,0.08303631214591901,fit
25377,Brady Singer,2025,QS,0.08840864440078586,0.07045550074970208,0.059653713354502,0.08236261619739263,fit
26056,Brandon Walter,2025,QS,0.11180124223602485,0.08738367600984592,0.06605091858619434,0.1134808434992186,fit
16162,Brandon Woodruff,2019,QS,0.08219178082191779,0.08818566945230694,0.0736090932803289,0.10462483258099431,fit
16162,Brandon Woodruff,2020,QS,0.08144796380090497,0.0886733546108369,0.07459088856254466,0.10376143098813731,fit
16162,Brandon Woodruff,2021,QS,0.11152416356877323,0.09838076602233561,0.08467675982868994,0.11271619523894418,fit
16162,Brandon Woodruff,2022,QS,0.09782608695652173,0.10774179431029829,0.09191357763668914,0.12410572566132676,fit
16162,Brandon Woodruff,2023,QS,0.1044776119402985,0.1061492241742467,0.08869022455044864,0.12415607072250083,fit
16162,Brandon Woodruff,2025,QS,0.09278350515463916,0.10576642892753209,0.08216350378748692,0.1332760026422551,fit
21844,Braxton Garrett,2021,QS,0.029411764705882353,0.053598565035010474,0.04050019946490273,0.06848474201152517,fit
21844,Braxton Garrett,2022,QS,0.056818181818181816,0.0622914887306343,0.04957500986814634,0.07621257678207428,fit
21844,Braxton Garrett,2023,QS,0.06263048016701461,0.06521031178675381,0.05325898935687412,0.07834695489713828,fit
21844,Braxton Garrett,2024,QS,0.05405405405405406,0.07171269525957677,0.05791983608841881,0.08654986739022587,fit
23920,Brayan Bello,2022,QS,0.03488372093023256,0.060624128057401576,0.047986869175020555,0.07528006878998128,fit
23920,Brayan Bello,2023,QS,0.09554140127388536,0.06354090553496079,0.05231248076889818,0.07635287798698098,fit
23920,Brayan Bello,2024,QS,0.061601642710472276,0.0699264532700898,0.05913402996040039,0.08221654774086386,fit
23920,Brayan Bello,2025,QS,0.096,0.07180456892640179,0.06036178771289878,0.0845518442061965,fit
30279,Bryan Woo,2023,QS,0.04562737642585551,0.08246496157554278,0.06557156958269542,0.10189889408208819,fit
30279,Bryan Woo,2024,QS,0.08241758241758243,0.08950857772176353,0.07412300215569718,0.10666667364634676,fit
30279,Bryan Woo,2025,QS,0.11250000000000002,0.09068498896411424,0.07554587913722005,0.10705929999978474,fit
