playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
29911,Andrew Abbott,2023,W,0.07317073170731708,0.060348874583494735,0.052177247144279744,0.06919707967712728,fit
29911,Andrew Abbott,2024,W,0.07246376811594203,0.061593847065220766,0.05469628565872206,0.06904160859937375,fit
29911,Andrew Abbott,2025,W,0.06012024048096192,0.06276358020950126,0.05624284014531966,0.06991988456507567,fit
29914,Andrew Alvarez,2025,W,0.04285714285714286,0.060323123388385844,0.048889358165039046,0.07327822503158715,fit
13543,Blake Snell,2018,W,0.11623616236162364,0.07278749394904636,0.06372430265104154,0.08304516070091796,fit
13543,Blake Snell,2019,W,0.056074766355140186,0.07320543757632246,0.06523469059268777,0.08217512146277815,fit
13543,Blake Snell,2020,W,0.08,0.07295339844876962,0.0654693783829907,0.08111407218793465,fit
13543,Blake Snell,2021,W,0.05440414507772021,0.07259631379440491,0.06563817452510136,0.08025810370796288,fit
13543,Blake Snell,2022,W,0.0625,0.07277742314450046,0.06532590706093133,0.08072945564198733,fit
13543,Blake Snell,2023,W,0.07777777777777778,0.07150128752971097,0.06348746283062764,0.08010482723415432,fit
13543,Blake Snell,2024,W,0.04807692307692308,0.06985818217229352,0.06076471523186969,0.079438768412041,fit
13543,Blake Snell,2025,W,0.08152173913043478,0.06810456823697988,0.057993667882251194,0.07867087353808944,fit
26056,Brandon Walter,2025,W,0.018633540372670808,0.06580914057894023,0.05566069874887821,0.07739392629115735,fit
16162,Brandon Woodruff,2019,W,0.09041095890410958,0.06769656909742125,0.059927469819942604,0.07592595847031328,fit
16162,Brandon Woodruff,2020,W,0.04072398190045248,0.07020479013145668,0.06320748079866731,0.07776577255453909,fit
16162,Brandon Woodruff,2021,W,0.05018587360594795,0.07271257254927149,0.06588880697111638,0.07982158132403293,fit
16162,Brandon Woodruff,2022,W,0.08478260869565217,0.07588147222035967,0.06827482368848335,0.08384432022261265,fit
16162,Brandon Woodruff,2023,W,0.07462686567164178,0.07761849822979319,0.06864654529950838,0.08724772251760399,fit
16162,Brandon Woodruff,2025,W,0.10824742268041236,0.08016271576983337,0.06734646762886559,0.09452821387765747,fit
21844,Braxton Garrett,2021,W,0.029411764705882353,0.049578818357088224,0.04111915450323353,0.058868403254634945,fit
21844,Braxton Garrett,2022,W,0.03409090909090909,0.05299339401012019,0.04563131059504465,0.06110857795825323,fit
21844,Braxton Garrett,2023,W,0.05636743215031315,0.055554396599170754,0.04877077288079358,0.06269165530393066,fit
21844,Braxton Garrett,2024,W,0.05405405405405406,0.05794608405120691,0.05095169876781861,0.06529338711595141,fit
23920,Brayan Bello,2022,W,0.03488372093023256,0.05337119530407611,0.04526719602330694,0.0621606087483834,fit
23920,Brayan Bello,2023,W,0.07643312101910828,0.055923532578177414,0.048958505356613585,0.06365023615137706,fit
23920,Brayan Bello,2024,W,0.08624229979466119,0.05829561848069699,0.05193815249845928,0.06556893593569907,fit
23920,Brayan Bello,2025,W,0.066,0.0606575001641188,0.054456778055002604,0.0677025995668701,fit
30279,Bryan Woo,2023,W,0.04562737642585551,0.06597863151451065,0.0558996925981766,0.07698814080217552,fit
30279,Bryan Woo,2024,W,0.07417582417582419,0.0682372150873036,0.059275225494029964,0.07785664735366779,fit
30279,Bryan Woo,2025,W,0.08035714285714288,0.07045271895380213,0.06206542614842668,0.07964597236840867,fit
31872,Cade Horton,2025,W,0.09322033898305085,0.06670446133725945,0.0550786030942382,0.07989540589205149,fit
32095,Cam Schlittler,2025,W,0.0547945205479452,0.06268589943395238,0.05202471250931879,0.07463210044451114,fit
16137,Carlos Rodón,2018,W,0.04972375690607734,0.060091198215152256,0.05251723331198629,0.06858160558268488,fit
16137,Carlos Rodón,2019,W,0.08653846153846155,0.06261456840205722,0.05571838245505441,0.07012033983288374,fit
16137,Carlos Rodón,2021,W,0.09798994974874373,0.06665079299761664,0.06066228290375897,0.07319506952835964,fit
16137,Carlos Rodón,2022,W,0.07865168539325842,0.06922264463215372,0.0629638981926726,0.07609153069978172,fit
16137,Carlos Rodón,2023,W,0.04663212435233161,0.07045979778327428,0.06352027422891807,0.07809024531911721,fit
16137,Carlos Rodón,2024,W,0.09142857142857143,0.07131190836271664,0.06335907860375216,0.08040245462939165,fit
16137,Carlos Rodón,2025,W,0.09215017064846415,0.07202071477083896,0.06290145332130936,0.08265329379243985,fit
12304,Chris Bassitt,2018,W,0.04195804195804196,0.06802485460998224,0.06071094054045416,0.07618939274039524,fit
12304,Chris Bassitt,2019,W,0.06944444444444445,0.06864140955705823,0.061857110679439616,0.07637774071079888,fit
12304,Chris Bassitt,2020,W,0.07936507936507936,0.06862499352154884,0.061719484334118266,0.0762299475927444,fit
12304,Chris Bassitt,2021,W,0.07627118644067796,0.06850762213743429,0.06132878964253901,0.07616516677759974,fit
12304,Chris Bassitt,2022,W,0.08256880733944956,0.06888746081016656,0.06109432352290911,0.07735164094800974,fit
12304,Chris Bassitt,2023,W,0.08,0.06788522024248655,0.059391407827614824,0.07729459281423351,fit
12304,Chris Bassitt,2024,W,0.05847953216374269,0.06651808411697392,0.05716323102941276,0.07685879249984955,fit
12304,Chris Bassitt,2025,W,0.06457925636007827,0.06504015240009157,0.05475938909022055,0.07656545554399037,fit
10603,Chris Sale,2018,W,0.0759493670886076,0.07348160155997986,0.06512666423081093,0.08221212503607785,fit
10603,Chris Sale,2019,W,0.04072398190045248,0.07444269007232646,0.06625242132568931,0.08289442495881956,fit
10603,Chris Sale,2021,W,0.1171875,0.07488904141182985,0.06618516867318866,0.08442744700195665,fit
10603,Chris Sale,2023,W,0.05844155844155843,0.07480449798398225,0.06430587483491818,0.08631544756718688,fit
10603,Chris Sale,2024,W,0.10131332082551596,0.0735897586848128,0.06219619814971781,0.08622072738632999,fit
10603,Chris Sale,2025,W,0.055702917771883284,0.07223649112162957,0.05974414698318423,0.08634174343971986,fit
19899,Clarke Schmidt,2023,W,0.05660377358490566,0.05594916499974595,0.049624337744278615,0.06245165085359557,fit
19899,Clarke Schmidt,2024,W,0.05859375,0.058656862437040325,0.05213088578303749,0.06513759831843655,fit
19899,Clarke Schmidt,2025,W,0.05084745762711864,0.06141320414315772,0.05361677727125215,0.06965095210684463,fit
2036,Clayton Kershaw,2018,W,0.05578512396694214,0.07925013165376651,0.07085902741285058,0.08883784915270701,fit
