playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
19950,Andrés Giménez,2020,SB,0.06060606060606061,0.04711363636363636,0.007575757575757576,0.09848484848484848,fit
19950,Andrés Giménez,2021,SB,0.05238095238095238,0.04396428571428571,0.014285714285714285,0.08571428571428572,fit
19950,Andrés Giménez,2022,SB,0.03590664272890485,0.04164991023339318,0.01615798922800718,0.07549371633752278,fit
19950,Andrés Giménez,2023,SB,0.048701298701298704,0.04752435064935065,0.01948051948051948,0.08441558441558442,fit
19950,Andrés Giménez,2024,SB,0.04739336492890995,0.04481121642969984,0.018957345971563982,0.08056872037914692,fit
19950,Andrés Giménez,2025,SB,0.032520325203252036,0.03651084010840108,0.01084010840108401,0.06775067750677506,fit
27647,Anthony Volpe,2023,SB,0.03993344425956739,0.03779450915141431,0.014975041597337771,0.07154742096505824,fit
27647,Anthony Volpe,2024,SB,0.040638606676342524,0.038290033865505564,0.01451378809869376,0.07111756168359942,fit
27647,Anthony Volpe,2025,SB,0.030201342281879196,0.033615212527964206,0.013422818791946308,0.06208053691275168,fit
27462,Austin Martin,2024,SB,0.027237354085603113,0.04673735408560312,0.011673151750972763,0.0933852140077821,fit
27462,Austin Martin,2025,SB,0.06077348066298342,0.04132136279926335,0.011049723756906077,0.08839779005524862,fit
19921,Blake Perkins,2023,SB,0.02976190476190476,0.04394047619047619,0.011904761904761904,0.08928571428571429,fit
19921,Blake Perkins,2024,SB,0.052995391705069124,0.0443168202764977,0.016129032258064516,0.08525345622119816,fit
19921,Blake Perkins,2025,SB,0.04093567251461988,0.03936549707602338,0.011695906432748537,0.08187134502923976,fit
25764,Bobby Witt Jr.,2022,SB,0.04746835443037975,0.04824129746835443,0.0189873417721519,0.08860759493670886,fit
25764,Bobby Witt Jr.,2023,SB,0.07060518731988473,0.057587415946205575,0.025936599423631124,0.10230547550432277,fit
25764,Bobby Witt Jr.,2024,SB,0.04372355430183357,0.05826610249177245,0.02538787023977433,0.10296191819464035,fit
25764,Bobby Witt Jr.,2025,SB,0.055312954876273655,0.050956089277049976,0.020378457059679767,0.09170305676855896,fit
21496,Brandon Lockridge,2025,SB,0.06756756756756757,0.05443468468468469,0.013513513513513514,0.12162162162162163,fit
25479,Brenton Doyle,2023,SB,0.05104408352668213,0.044757927300850736,0.016241299303944315,0.08352668213457076,fit
25479,Brenton Doyle,2024,SB,0.04975124378109453,0.04408291873963516,0.01824212271973466,0.0812603648424544,fit
25479,Brenton Doyle,2025,SB,0.03345724907063197,0.03838816604708798,0.01486988847583643,0.07063197026022305,fit
22186,Brice Turang,2023,SB,0.05803571428571429,0.05945982142857143,0.022321428571428572,0.109375,fit
22186,Brice Turang,2024,SB,0.08077544426494346,0.05750538502961766,0.024232633279483037,0.10339256865912763,fit
22186,Brice Turang,2025,SB,0.036418816388467376,0.04793272635306018,0.019726858877086494,0.08649468892261002,fit
29524,Bryce Teodosio,2025,SB,0.04666666666666667,0.03965777777777778,0.006666666666666667,0.09333333333333334,fit
26294,Bryson Stott,2022,SB,0.02575107296137339,0.036473891273247495,0.012875536480686695,0.06866952789699571,fit
26294,Bryson Stott,2023,SB,0.0484375,0.044078385416666664,0.01875,0.07976562500000027,fit
26294,Bryson Stott,2024,SB,0.05604203152364273,0.043974605954465854,0.017513134851138354,0.08056042031523643,fit
26294,Bryson Stott,2025,SB,0.04285714285714286,0.03803720238095238,0.014285714285714285,0.07142857142857142,fit
25768,CJ Abrams,2022,SB,0.023178807947019868,0.044247792494481235,0.013245033112582781,0.08609271523178808,fit
25768,CJ Abrams,2023,SB,0.07654723127035831,0.05359229098805644,0.02280130293159609,0.09609120521172639,fit
25768,CJ Abrams,2024,SB,0.05149501661129568,0.05511489479512735,0.023255813953488372,0.09966777408637874,fit
25768,CJ Abrams,2025,SB,0.048818897637795275,0.048401574803149605,0.02047244094488189,0.08661417322834646,fit
24262,Ceddanne Rafaela,2024,SB,0.03327495621716287,0.0361517805020432,0.012259194395796848,0.07005253940455342,fit
24262,Ceddanne Rafaela,2025,SB,0.034071550255536626,0.03289664963089154,0.01192504258943782,0.06303236797274275,fit
17929,Cedric Mullins,2018,SB,0.010471204188481676,0.03508202443280977,0.005235602094240838,0.07329842931937172,fit
17929,Cedric Mullins,2020,SB,0.0457516339869281,0.03629193899782135,0.006535947712418301,0.0784313725490196,fit
17929,Cedric Mullins,2021,SB,0.044444444444444446,0.037638765432098764,0.014814814814814815,0.06666666666666667,fit
17929,Cedric Mullins,2022,SB,0.050595238095238096,0.03983234126984127,0.01636904761904762,0.06994047619047619,fit
17929,Cedric Mullins,2023,SB,0.041758241758241756,0.050242857142857145,0.01978021978021978,0.09010989010989011,fit
17929,Cedric Mullins,2024,SB,0.06412825651302605,0.05164529058116233,0.022044088176352707,0.09418837675350701,fit
17929,Cedric Mullins,2025,SB,0.04417670682730924,0.04724196787148594,0.018072289156626505,0.08634538152610442,fit
31912,Chandler Simpson,2025,SB,0.09977324263038549,0.0904822373393802,0.034013605442176874,0.17913832199546487,fit
31580,Chase Meidroth,2025,SB,0.027722772277227723,0.030487458745874586,0.007920792079207921,0.06336633663366337,fit
11477,Christian Yelich,2018,SB,0.03379416282642089,0.036979262672811056,0.015360983102918587,0.06912442396313365,fit
11477,Christian Yelich,2019,SB,0.05172413793103448,0.03369080459770115,0.013793103448275862,0.06206896551724138,fit
11477,Christian Yelich,2020,SB,0.016194331983805668,0.03438056680161943,0.012145748987854251,0.06477732793522267,fit
11477,Christian Yelich,2021,SB,0.018947368421052633,0.03378350877192982,0.01263157894736842,0.061052631578947365,fit
11477,Christian Yelich,2022,SB,0.028315946348733235,0.03331520119225037,0.013412816691505217,0.05812220566318927,fit
11477,Christian Yelich,2023,SB,0.04430379746835443,0.04017220464135021,0.01740506329113924,0.071202531645569625,fit
11477,Christian Yelich,2024,SB,0.06666666666666667,0.03935925925925926,0.012698412698412698,0.07301587301587302,fit
11477,Christian Yelich,2025,SB,0.024844720496894408,0.03326863354037267,0.012422360248447204,0.062111801242236024,fit
25878,Corbin Carroll,2022,SB,0.017391304347826087,0.045820289855072464,0.008695652173913044,0.09565217391304348,fit
25878,Corbin Carroll,2023,SB,0.08372093023255814,0.05870981912144703,0.024806201550387597,0.10387596899224806,fit
25878,Corbin Carroll,2024,SB,0.05116959064327485,0.061793859649122804,0.02631578947368421,0.1111111111111111,fit
25878,Corbin Carroll,2025,SB,0.04984423676012461,0.055663291796469366,0.02336448598130841,0.09968847352024922,fit
19779,Dairon Blanco,2023,SB,0.17391304347826086,0.17083454106280194,0.06521739130434782,0.3188405797101449,fit
19779,Dairon Blanco,2024,SB,0.23484848484848486,0.17785479797979797,0.06818181818181818,0.3333333333333333,fit
22054,Dane Myers,2024,SB,0.037037037037037035,0.04601543209876543,0.009259259259259259,0.10185185185185185,fit
22054,Dane Myers,2025,SB,0.05405405405405406,0.040384884884884883,0.012012012012012012,0.08108108108108109,fit
27531,David Hamilton,2024,SB,0.10410094637223975,0.10385226077812829,0.04100946372239748,0.19558359621451105,fit
27531,David Hamilton,2025,SB,0.1134020618556701,0.09344587628865979,0.03608247422680412,0.18041237113402062,fit
29858,Denzel Clarke,2025,SB,0.03773584905660377,0.036449685534591186,0.006289308176100629,0.08176100628930817,fit
16947,Derek Hill,2021,SB,0.04,0.03475333333333333,0.006666666666666667,0.08,fit
16947,Derek Hill,2024,SB,0.03488372093023256,0.042940891472868226,0.011627906976744186,0.09302325581395349,fit
16947,Derek Hill,2025,SB,0.04697986577181208,0.036348993288590606,0.006711409395973154,0.08053691275167785,fit
33541,Dylan Crews,2024,SB,0.09090909090909091,0.06932575757575757,0.022727272727272728,0.14393939393939395,fit
33541,Dylan Crews,2025,SB,0.052795031055900624,0.06190734989648033,0.021739130434782608,0.12111801242236025,fit
18042,Dylan Moore,2019,SB,0.03900709219858156,0.05275236406619385,0.01773049645390071,0.09929078014184398,fit
18042,Dylan Moore,2020,SB,0.07547169811320754,0.05477882599580713,0.018867924528301886,0.1069182389937107,fit
18042,Dylan Moore,2021,SB,0.05570291777188329,0.054088859416445624,0.021220159151193633,0.09814323607427056,fit
18042,Dylan Moore,2022,SB,0.08235294117647059,0.0550392156862745,0.0196078431372549,0.10196078431372549,fit
18042,Dylan Moore,2023,SB,0.04242424242424243,0.06646565656565656,0.024242424242424242,0.12727272727272726,fit
18042,Dylan Moore,2024,SB,0.07256235827664399,0.06702003023431595,0.027210884353741496,0.12244897959183673,fit
18042,Dylan Moore,2025,SB,0.05761316872427984,0.05799039780521262,0.0205761316872428,0.1111111111111111,fit
19346,Eli White,2021,SB,0.01818181818181818,0.043792424242424244,0.013636363636363636,0.09090909090909091,fit
19346,Eli White,2022,SB,0.10256410256410256,0.04419088319088319,0.008547008547008548,0.09401709401709402,fit
19346,Eli White,2025,SB,0.03690036900369004,0.04463284132841328,0.014760147601476014,0.09225092250922509,fit
26668,Elly De La Cruz,2023,SB,0.08196721311475409,0.08058860265417643,0.03278688524590164,0.14754098360655737,fit
26668,Elly De La Cruz,2024,SB,0.09626436781609195,0.08038362068965517,0.034482758620689655,0.14511494252873564,fit
26668,Elly De La Cruz,2025,SB,0.05293276108726753,0.06953671912255603,0.030042918454935622,0.12589413447782546,fit
27790,Evan Carter,2024,SB,0.012345679012345678,0.04195884773662552,0.006172839506172839,0.09259259259259259,fit
27790,Evan Carter,2025,SB,0.06363636363636363,0.039733333333333336,0.00909090909090909,0.08181818181818182,fit
19709,Fernando Tatis Jr.,2019,SB,0.043010752688172046,0.04165860215053763,0.013440860215053764,0.08064516129032258,fit
19709,Fernando Tatis Jr.,2020,SB,0.042801556420233464,0.04168093385214008,0.011673151750972763,0.08171206225680934,fit
19709,Fernando Tatis Jr.,2021,SB,0.045787545787545784,0.040315323565323566,0.016483516483516484,0.07326007326007326,fit
19709,Fernando Tatis Jr.,2023,SB,0.045669291338582677,0.048479527559055116,0.02047244094488189,0.08661417322834646,fit
19709,Fernando Tatis Jr.,2024,SB,0.02511415525114155,0.04714117199391172,0.0182648401826484,0.08447488584474885,fit
19709,Fernando Tatis Jr.,2025,SB,0.04630969609261939,0.04059406657018813,0.015918958031837915,0.07380607814761216,fit
12916,Francisco Lindor,2018,SB,0.03355704697986577,0.03111856823266219,0.012080536912751677,0.05771812080536913,fit
12916,Francisco Lindor,2019,SB,0.03363914373088685,0.028646279306829767,0.010703363914373088,0.053516819571865444,fit
12916,Francisco Lindor,2020,SB,0.022556390977443608,0.030669799498746864,0.007518796992481203,0.06015037593984962,fit
12916,Francisco Lindor,2021,SB,0.019083969465648856,0.03064503816793893,0.011450381679389313,0.05534351145038168,fit
12916,Francisco Lindor,2022,SB,0.0226628895184136,0.031182719546742208,0.012747875354107648,0.05524079320113314,fit
12916,Francisco Lindor,2023,SB,0.04512372634643377,0.03914046579330422,0.01601164483260553,0.06986899563318777,fit
12916,Francisco Lindor,2024,SB,0.0420899854862119,0.04011151427189163,0.015965166908563134,0.07111756168359942,fit
12916,Francisco Lindor,2025,SB,0.04234972677595628,0.03579781420765027,0.015027322404371584,0.06557377049180328,fit
27555,Garrett Mitchell,2024,SB,0.049107142857142856,0.04629985119047619,0.013392857142857142,0.09821428571428571,fit
22799,Geraldo Perdomo,2022,SB,0.018,0.024345666666666668,0.008,0.048,fit
22799,Geraldo Perdomo,2023,SB,0.03232323232323232,0.03149191919191919,0.012121212121212121,0.05858585858585859,fit
22799,Geraldo Perdomo,2024,SB,0.023195876288659795,0.03268127147766323,0.010309278350515464,0.061855670103092786,fit
22799,Geraldo Perdomo,2025,SB,0.0375,0.030250694444444445,0.011111111111111112,0.05562500000000025,fit
25690,Grant McCray,2024,SB,0.038461538461538464,0.03656282051282051,0,0.09230769230769231,fit
27506,Ha-Seong Kim,2021,SB,0.020134228187919462,0.029520693512304252,0.010067114093959731,0.06040268456375839,fit
27506,Ha-Seong Kim,2022,SB,0.020618556701030927,0.030348510882016035,0.012027491408934709,0.05670103092783505,fit
27506,Ha-Seong Kim,2023,SB,0.06070287539936102,0.038412673056443025,0.01597444089456869,0.07028753993610223,fit
27506,Ha-Seong Kim,2024,SB,0.04680851063829787,0.04036595744680851,0.014893617021276596,0.07446808510638298,fit
