playerid,PlayerName,Season,metric,observed,fitted_mean,fitted_p05,fitted_p95,type
18655,A.J. Minter,2018,ERA,3.2282608695652173,3.871516304347826,2.641304347826087,5.282608695652174,fit
18655,A.J. Minter,2019,ERA,7.0568181818181825,4.0795056818181825,2.147727272727273,6.136363636363637,fit
18655,A.J. Minter,2020,ERA,0.8307692307692307,3.493107692307692,1.6615384615384614,5.815384615384614,fit
18655,A.J. Minter,2021,ERA,3.7834394904458595,3.225009554140127,2.0636942675159236,4.471337579617835,fit
18655,A.J. Minter,2022,ERA,2.057142857142857,2.934192857142857,1.9285714285714284,3.9857142857142858,fit
18655,A.J. Minter,2023,ERA,3.757731958762886,3.0000850515463915,1.9484536082474224,4.175257731958762,fit
18655,A.J. Minter,2024,ERA,2.6213592233009706,2.936577669902912,1.5728155339805823,4.45631067961165,fit
19343,A.J. Puk,2022,ERA,3.120603015075377,3.1767964824120605,2.035175879396985,4.477386934673367,fit
19343,A.J. Puk,2023,ERA,3.970588235294118,3.340852941176471,2.223529411764706,4.605882352941177,fit
19343,A.J. Puk,2024,ERA,3.154205607476636,3.3332383177570097,2.1448598130841123,4.542056074766355,fit
23550,Aaron Ashby,2021,ERA,4.5473684210526315,3.4097684210526316,1.7052631578947368,5.3999999999999995,fit
23550,Aaron Ashby,2024,ERA,2.858823529411765,2.986994117647059,1.572352941176467,4.764705882352941,fit
23550,Aaron Ashby,2025,ERA,2.16,3.0116025,1.89,4.185,fit
25327,Abner Uribe,2023,ERA,1.7608695652173911,2.181179347826087,0.8804347826086956,3.8152173913043477,fit
25327,Abner Uribe,2025,ERA,1.672566371681416,2.404811946902655,1.4336283185840708,3.464601769911505,fit
20039,Adrian Morejon,2022,ERA,4.235294117647059,3.0513970588235293,1.5882352941176472,4.764705882352941,fit
20039,Adrian Morejon,2024,ERA,2.8272251308900525,2.9215130890052357,1.8376963350785342,4.0994764397905765,fit
20039,Adrian Morejon,2025,ERA,2.0769230769230766,2.933470588235294,1.9547511312217192,4.031674208144796,fit
25007,Alex Vesia,2021,ERA,2.25,2.903475,1.575,4.2749999999999995,fit
25007,Alex Vesia,2022,ERA,2.1533742331288344,2.711346625766871,1.656441717791411,3.809815950920245,fit
25007,Alex Vesia,2023,ERA,4.348993288590604,2.8445134228187916,1.6308724832214767,4.167785234899329,fit
25007,Alex Vesia,2024,ERA,1.7638190954773871,2.864668341708543,1.8994974874371862,4.07035175879397,fit
25007,Alex Vesia,2025,ERA,3.016759776536313,3.0093435754189946,1.9608938547486034,4.223463687150838,fit
21132,Alexis Díaz,2022,ERA,1.8376963350785342,2.533452879581152,1.5549738219895288,3.6753926701570685,fit
21132,Alexis Díaz,2023,ERA,3.0742574257425743,2.875477722772277,1.8712871287128714,4.00990099009901,fit
21132,Alexis Díaz,2024,ERA,3.994082840236686,3.1149852071005917,1.9171597633136093,4.313609467455621,fit
12828,Andrew Kittredge,2018,ERA,7.747826086956521,4.486304347826087,2.817391304347826,6.339130434782608,fit
12828,Andrew Kittredge,2019,ERA,4.167785234899329,4.559979865771813,3.0805369127516777,6.1610738255033555,fit
12828,Andrew Kittredge,2021,ERA,1.883720930232558,3.346053488372093,2.2604651162790694,4.520930232558139,fit
12828,Andrew Kittredge,2022,ERA,3.15,2.9082,1.3499999999999999,4.95,fit
12828,Andrew Kittredge,2024,ERA,2.80188679245283,2.7353632075471697,1.7830188679245282,3.820754716981132,fit
12828,Andrew Kittredge,2025,ERA,3.3962264150943398,2.687547169811321,1.5283018867924527,4.0754716981132075,fit
25942,Andrew Nardi,2023,ERA,2.6686046511627906,3.4695261627906984,2.197674418604651,4.866279069767441,fit
25942,Andrew Nardi,2024,ERA,5.073825503355705,3.402694630872483,1.993288590604027,4.89261744966443,fit
20373,Andrés Muñoz,2019,ERA,3.9130434782608696,3.1185652173913043,1.1739130434782608,5.08695652173913,fit
20373,Andrés Muñoz,2022,ERA,2.4923076923076923,2.4388846153846155,1.3846153846153846,3.4615384615384617,fit
20373,Andrés Muñoz,2023,ERA,2.9387755102040813,2.5721020408163264,1.4693877551020407,3.8571428571428568,fit
20373,Andrés Muñoz,2024,ERA,2.1235955056179776,2.5843651685393256,1.5168539325842696,3.640449438202247,fit
20373,Andrés Muñoz,2025,ERA,1.7326203208556148,2.694417112299465,1.7326203208556148,3.8983957219251337,fit
19742,Anthony Bender,2021,ERA,2.7880434782608696,3.219236413043478,2.0543478260869565,4.548913043478261,fit
19742,Anthony Bender,2024,ERA,4.0754716981132075,3.1576415094339625,2.0377358490566038,4.415094339622642,fit
19742,Anthony Bender,2025,ERA,2.16,3.27708,1.98,4.68,fit
10233,Aroldis Chapman,2018,ERA,2.454545454545454,3.0014123376623374,1.753246753246753,4.383116883116883,fit
10233,Aroldis Chapman,2019,ERA,2.2105263157894735,3.287,2.052631578947368,4.578947368421053,fit
10233,Aroldis Chapman,2021,ERA,3.355029585798816,2.752508875739645,1.5976331360946745,3.994082840236686,fit
10233,Aroldis Chapman,2022,ERA,4.458715596330275,2.597532110091743,1.238532110091743,3.9633027522935778,fit
10233,Aroldis Chapman,2023,ERA,3.085714285714286,2.75508,1.697142857142857,4.011428571428571,fit
10233,Aroldis Chapman,2024,ERA,3.794594594594595,2.7986351351351355,1.7513513513513514,3.9405405405405407,fit
10233,Aroldis Chapman,2025,ERA,1.1739130434782608,2.9290842391304346,1.7608695652173911,4.255434782608695,fit
31461,Ben Joyce,2024,ERA,2.076923076923077,2.8607884615384616,1.2980769230769231,4.673076923076923,fit
21345,Bennett Sousa,2022,ERA,8.40983606557377,4.374737704918033,2.2131147540983607,7.081967213114755,fit
21345,Bennett Sousa,2025,ERA,2.842105263157895,3.516779605263158,2.1315789473684212,5.151315789473685,fit
