playerid,PlayerName,Season,metric,observed,fitted_mean,fitted_p05,fitted_p95,type
18655,A.J. Minter,2018,WHIP,1.2880434782608696,1.2995924203530609,1.1869842894479279,1.418342810357132,fit
18655,A.J. Minter,2019,WHIP,2.0113636363636362,1.3004600537498425,1.2054014449263342,1.3997420943928847,fit
18655,A.J. Minter,2020,WHIP,1.1076923076923075,1.2055526688594493,1.1274976586017669,1.2869161567119338,fit
18655,A.J. Minter,2021,WHIP,1.2229299363057324,1.1502578269661656,1.0840557681807166,1.2194530493116058,fit
18655,A.J. Minter,2022,WHIP,0.9142857142857143,1.1102138237455565,1.041233271673591,1.17949361417676,fit
18655,A.J. Minter,2023,WHIP,1.190721649484536,1.1065785744804202,1.0281846337828031,1.187888466739235,fit
18655,A.J. Minter,2024,WHIP,1.0194174757281553,1.081334679562187,0.9905201604250352,1.1781478581942177,fit
19343,A.J. Puk,2022,WHIP,1.1457286432160805,1.138740774121413,1.0518521942965258,1.2337128282246308,fit
19343,A.J. Puk,2023,WHIP,1.1823529411764706,1.1569396233448095,1.0783021653912686,1.2392588071291188,fit
19343,A.J. Puk,2024,WHIP,1.1074766355140189,1.1529448394897779,1.0583366501670037,1.249430803457105,fit
23550,Aaron Ashby,2021,WHIP,1.1684210526315788,1.1863379294003693,1.0381325628143927,1.3459836974175055,fit
23550,Aaron Ashby,2024,WHIP,1.0588235294117647,1.124901830150016,1.0309249178907263,1.2186445607573746,fit
23550,Aaron Ashby,2025,WHIP,1.17,1.134794505983093,1.0382184785574355,1.2344820465495308,fit
25327,Abner Uribe,2023,WHIP,1.1739130434782608,1.0159558380762324,0.8892271200876944,1.1488995407450326,fit
25327,Abner Uribe,2025,WHIP,1.0353982300884956,1.0620678415696008,0.9619231224354372,1.1712622526867449,fit
20039,Adrian Morejon,2022,WHIP,1.1764705882352942,1.11969510456796,0.998184519410246,1.2512058396793542,fit
20039,Adrian Morejon,2024,WHIP,1.3193717277486912,1.096782488511034,1.0114741517079548,1.1852572110443085,fit
20039,Adrian Morejon,2025,WHIP,0.8959276018099547,1.10633900260168,1.0227616482944364,1.1935885256135566,fit
25007,Alex Vesia,2021,WHIP,0.975,1.1159204967152607,1.009287377002384,1.2264878899364626,fit
25007,Alex Vesia,2022,WHIP,1.1226993865030674,1.0921378223891818,1.0076065605298044,1.1801831587664584,fit
25007,Alex Vesia,2023,WHIP,1.389261744966443,1.10974587382623,1.0354614084128317,1.186661115065285,fit
25007,Alex Vesia,2024,WHIP,0.9949748743718594,1.1045342151710955,1.0250407852273695,1.1841527261908789,fit
25007,Alex Vesia,2025,WHIP,0.9888268156424581,1.1319160647087516,1.0362447746401922,1.2318851113469251,fit
12828,Andrew Kittredge,2018,WHIP,1.8521739130434782,1.3695211844492017,1.2624261979608875,1.4821226890220383,fit
12828,Andrew Kittredge,2019,WHIP,1.2684563758389262,1.3446759111392996,1.2532846056547113,1.438748936333432,fit
12828,Andrew Kittredge,2021,WHIP,0.9767441860465116,1.1334485758653683,1.0647491965542264,1.2041206585604414,fit
12828,Andrew Kittredge,2022,WHIP,0.85,1.075477790113187,1.0052287953746066,1.1475896760761102,fit
12828,Andrew Kittredge,2024,WHIP,1.1320754716981132,1.003804747944552,0.9163761613845187,1.0938359825554493,fit
12828,Andrew Kittredge,2025,WHIP,0.9811320754716981,0.9880268923118113,0.8869373508990194,1.0922747261179768,fit
