playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
23550,Aaron Ashby,2021,SVHLD,0.031578947368421054,0.0743421052631579,0,0.15789473684210525,fit
23550,Aaron Ashby,2024,SVHLD,0.10588235294117647,0.11587058823529411,0.03529411764705882,0.24705882352941178,fit
23550,Aaron Ashby,2025,SVHLD,0.12,0.127415,0.06,0.21,fit
25327,Abner Uribe,2023,SVHLD,0.2934782608695652,0.19501086956521735,0.06521739130434782,0.358695652173913,fit
25327,Abner Uribe,2025,SVHLD,0.584070796460177,0.5931681415929204,0.4115044247787611,0.7838495575221263,fit
20039,Adrian Morejon,2022,SVHLD,0.14705882352941177,0.07400000000000001,0,0.17647058823529413,fit
20039,Adrian Morejon,2024,SVHLD,0.2198952879581152,0.30360732984293193,0.18848167539267016,0.4397905759162304,fit
20039,Adrian Morejon,2025,SVHLD,0.31221719457013575,0.3414592760180995,0.21719457013574658,0.48868778280542985,fit
25007,Alex Vesia,2021,SVHLD,0.25,0.2518625,0.125,0.4,fit
25007,Alex Vesia,2022,SVHLD,0.31288343558282206,0.2983159509202454,0.1656441717791411,0.44171779141104295,fit
25007,Alex Vesia,2023,SVHLD,0.20134228187919465,0.34679194630872484,0.20134228187919465,0.5033557046979866,fit
25007,Alex Vesia,2024,SVHLD,0.271356783919598,0.38263065326633167,0.2562814070351759,0.5276381909547739,fit
25007,Alex Vesia,2025,SVHLD,0.5027932960893855,0.4203435754189944,0.2681564245810056,0.5865921787709497,fit
12828,Andrew Kittredge,2018,SVHLD,0,0.06102173913043478,0,0.13043478260869565,fit
12828,Andrew Kittredge,2019,SVHLD,0.04026845637583893,0.07031543624161074,0.020134228187919465,0.14093959731543626,fit
12828,Andrew Kittredge,2021,SVHLD,0.20930232558139533,0.29840697674418604,0.18139534883720929,0.41860465116279066,fit
12828,Andrew Kittredge,2022,SVHLD,0.25,0.113575,0,0.25,fit
12828,Andrew Kittredge,2024,SVHLD,0.5377358490566038,0.42872877358490563,0.2830188679245283,0.5943396226415094,fit
12828,Andrew Kittredge,2025,SVHLD,0.37735849056603776,0.46132389937106916,0.2830188679245283,0.660377358490566,fit
20373,Andrés Muñoz,2019,SVHLD,0.391304347826087,0.35828985507246375,0.13043478260869565,0.6086956521739131,fit
20373,Andrés Muñoz,2022,SVHLD,0.4,0.47195384615384617,0.3230769230769231,0.6307692307692307,fit
20373,Andrés Muñoz,2023,SVHLD,0.5510204081632653,0.5084387755102041,0.32653061224489793,0.6938775510204082,fit
20373,Andrés Muñoz,2024,SVHLD,0.47191011235955055,0.5185308988764045,0.3539325842696629,0.6910112359550562,fit
20373,Andrés Muñoz,2025,SVHLD,0.6096256684491979,0.5227647058823529,0.3529411764705882,0.7058823529411764,fit
