playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
18655,A.J. Minter,2018,W,0.06521739130434782,0.055701086956521734,0.016304347826086956,0.11413043478260869,fit
18655,A.J. Minter,2019,W,0.10227272727272728,0.05731250000000001,0,0.13636363636363638,fit
18655,A.J. Minter,2020,W,0.04615384615384615,0.07419999999999999,0,0.1846153846153846,fit
18655,A.J. Minter,2021,W,0.057324840764331204,0.07812420382165605,0.01910828025477707,0.15286624203821655,fit
18655,A.J. Minter,2022,W,0.07142857142857142,0.07129761904761905,0.02857142857142857,0.12857142857142856,fit
18655,A.J. Minter,2023,W,0.04639175257731958,0.07370876288659793,0.015463917525773195,0.13917525773195874,fit
18655,A.J. Minter,2024,W,0.14563106796116504,0.07107766990291263,0,0.14563106796116504,fit
19343,A.J. Puk,2022,W,0.06030150753768845,0.0681105527638191,0.015075376884422112,0.1206030150753769,fit
19343,A.J. Puk,2023,W,0.12352941176470589,0.0695264705882353,0.01764705882352941,0.1411764705882353,fit
19343,A.J. Puk,2024,W,0.05607476635514019,0.0677032710280374,0.014018691588785048,0.12616822429906543,fit
23550,Aaron Ashby,2021,W,0.09473684210526316,0.07697894736842106,0,0.18947368421052632,fit
23550,Aaron Ashby,2024,W,0.03529411764705882,0.07424705882352939,0,0.17647058823529413,fit
23550,Aaron Ashby,2025,W,0.075,0.0723675,0.015,0.13499999999999998,fit
25327,Abner Uribe,2023,W,0.03260869565217391,0.07812499999999994,0,0.16304347826086957,fit
25327,Abner Uribe,2025,W,0.03982300884955752,0.07320353982300885,0.026548672566371685,0.13274336283185842,fit
20039,Adrian Morejon,2022,W,0.14705882352941177,0.08424019607843138,0,0.17647058823529413,fit
20039,Adrian Morejon,2024,W,0.04712041884816754,0.08579319371727748,0.031413612565445025,0.15706806282722513,fit
20039,Adrian Morejon,2025,W,0.1764705882352941,0.08179638009049774,0.027149321266968323,0.1493212669683258,fit
25007,Alex Vesia,2021,W,0.075,0.07781666666666667,0,0.175,fit
