playerid,PlayerName,Season,metric,observed,fitted_mean,fitted_p05,fitted_p95,type
29911,Andrew Abbott,2023,ERA,3.8689024390243905,3.8817723291005084,3.449765968364721,4.346127703123507,fit
29911,Andrew Abbott,2024,ERA,3.717391304347826,3.6456291340992704,3.3249300035923097,3.980746706179968,fit
29911,Andrew Abbott,2025,ERA,2.8677354709418834,3.6480957445216107,3.3118710813709593,3.99482801398473,fit
29914,Andrew Alvarez,2025,ERA,2.3142857142857145,3.8143495707916486,2.998278348730943,4.737852729811791,fit
13543,Blake Snell,2018,ERA,1.8929889298892992,3.025034287650237,2.7150493111853535,3.3452544938949584,fit
13543,Blake Snell,2019,ERA,4.289719626168225,3.207130622812698,2.9288944058547655,3.490466695056514,fit
13543,Blake Snell,2020,ERA,3.2399999999999998,3.1044897515062635,2.862566310639223,3.3455763634397506,fit
13543,Blake Snell,2021,ERA,4.196891191709845,3.01283538867568,2.808971958891662,3.2169739624905005,fit
13543,Blake Snell,2022,ERA,3.375,2.8304280909812514,2.6303937596691793,3.0327364847051994,fit
13543,Blake Snell,2023,ERA,2.25,3.2207560573845586,2.9632120884607778,3.4872547984075215,fit
13543,Blake Snell,2024,ERA,3.1153846153846154,3.150515993512205,2.849693847909787,3.4649614997959093,fit
13543,Blake Snell,2025,ERA,2.3478260869565215,3.2808394596341786,2.9006976904482427,3.674291415205142,fit
26056,Brandon Walter,2025,ERA,3.354037267080746,3.443363001722412,2.859720494627827,4.08319687852289,fit
16162,Brandon Woodruff,2019,ERA,3.624657534246575,3.4432285469760213,3.08114467348129,3.8281626896980097,fit
16162,Brandon Woodruff,2020,ERA,3.0542986425339365,3.1956087026600626,2.915880725661843,3.4871673635781724,fit
16162,Brandon Woodruff,2021,ERA,2.5594795539033455,2.974132114472175,2.755627214213167,3.2074147296583364,fit
16162,Brandon Woodruff,2022,ERA,3.052173913043478,2.6800778145071846,2.4641419653836882,2.9037182704301907,fit
16162,Brandon Woodruff,2023,ERA,2.283582089552239,2.9258887763015533,2.6439844717310956,3.2240819472966082,fit
16162,Brandon Woodruff,2025,ERA,3.2010309278350513,2.7453133382054737,2.3462112370018113,3.1919997366850197,fit
21844,Braxton Garrett,2021,ERA,5.029411764705882,4.549909673425577,3.9389597212383776,5.213991198000392,fit
21844,Braxton Garrett,2022,ERA,3.579545454545454,4.00812023556055,3.5877913081112083,4.459605086222338,fit
21844,Braxton Garrett,2023,ERA,3.663883089770355,4.280010386490276,3.879469594415957,4.697331602914829,fit
21844,Braxton Garrett,2024,ERA,5.351351351351352,3.931987723889689,3.5140353456764095,4.3856401829521285,fit
23920,Brayan Bello,2022,ERA,4.709302325581395,4.309738683366867,3.8124397661885876,4.846273353176627,fit
23920,Brayan Bello,2023,ERA,4.24203821656051,4.542987765767843,4.149696402445888,4.957577230683907,fit
23920,Brayan Bello,2024,ERA,4.490759753593429,4.119092827380953,3.810505781413535,4.444624050760756,fit
23920,Brayan Bello,2025,ERA,3.348,3.9781637686492597,3.630495143160748,4.338402000250367,fit
30279,Bryan Woo,2023,ERA,4.2091254752851714,3.384172354983602,2.9805610665521067,3.823071163156015,fit
30279,Bryan Woo,2024,ERA,2.8928571428571432,3.129645113233008,2.8312792798898605,3.452399571550938,fit
30279,Bryan Woo,2025,ERA,2.941071428571429,3.0834211606890976,2.798312522106933,3.389706698274812,fit
31872,Cade Horton,2025,ERA,2.669491525423729,3.2831905478939216,2.7870587335179935,3.8264997277522412,fit
32095,Cam Schlittler,2025,ERA,2.958904109589041,3.504630788269943,2.9129306721557375,4.154943347609328,fit
16137,Carlos Rodón,2018,ERA,4.176795580110497,3.7949458348596172,3.359874859450428,4.258181479798109,fit
16137,Carlos Rodón,2019,ERA,5.1923076923076925,3.911226301418088,3.5304020520765023,4.31287433630192,fit
16137,Carlos Rodón,2021,ERA,2.374371859296483,3.4722456829292234,3.235084601524563,3.722471728381168,fit
16137,Carlos Rodón,2022,ERA,2.8820224719101124,3.170992629368743,2.9707628658842227,3.3828145279258472,fit
16137,Carlos Rodón,2023,ERA,6.8549222797927465,3.507585092128036,3.2682506719355437,3.747556052385934,fit
16137,Carlos Rodón,2024,ERA,3.96,3.3351414645587307,3.079076302432021,3.5991693296830296,fit
16137,Carlos Rodón,2025,ERA,3.087030716723549,3.3758968231657227,3.0654978860757454,3.697311369680494,fit
10603,Chris Sale,2018,ERA,2.107594936708861,2.9743094297550763,2.689023544546297,3.2751854139148664,fit
10603,Chris Sale,2019,ERA,4.398190045248868,3.153648071331395,2.889509049660771,3.4330347798959795,fit
10603,Chris Sale,2021,ERA,3.1640625,2.9629643849692595,2.737646137469546,3.195655134501811,fit
10603,Chris Sale,2023,ERA,4.295454545454545,3.1668764003240217,2.8916745138624043,3.450553007644062,fit
10603,Chris Sale,2024,ERA,2.380863039399625,3.097191845191688,2.796070090733824,3.410434443612682,fit
10603,Chris Sale,2025,ERA,2.578249336870026,3.22449971542839,2.861420073417952,3.6012376146314176,fit
19899,Clarke Schmidt,2023,ERA,4.6415094339622645,4.3145320680034205,3.8917121985260104,4.7668132484536265,fit
19899,Clarke Schmidt,2024,ERA,2.84765625,3.911615610620002,3.560982973872506,4.286170365854884,fit
19899,Clarke Schmidt,2025,ERA,3.3177966101694913,3.7796756382925465,3.34077600947764,4.249258514434296,fit
27597,Cody Bradford,2024,ERA,3.537117903930131,3.450903693144266,2.914080353188331,4.031902272261806,fit
21846,Cole Ragans,2022,ERA,4.95,4.031055277972786,3.4188981464565877,4.697098440424068,fit
21846,Cole Ragans,2024,ERA,3.1395348837209296,3.6989000927079396,3.340965356552432,4.084336100413345,fit
21846,Cole Ragans,2025,ERA,4.6702702702702705,3.5027805244180064,3.1215053559145143,3.9092994275656827,fit
19361,Corbin Burnes,2020,ERA,2.111731843575419,2.750492017504595,2.420254269325778,3.097664124698368,fit
19361,Corbin Burnes,2021,ERA,2.4251497005988023,2.748316896945247,2.50142085462467,3.0024103154441923,fit
19361,Corbin Burnes,2022,ERA,2.9405940594059405,2.659267580976148,2.466461097730778,2.856802042901861,fit
19361,Corbin Burnes,2023,ERA,3.3924268502581763,3.1175801144073487,2.9047336517469113,3.340800220632709,fit
19361,Corbin Burnes,2024,ERA,2.917667238421955,3.142771097870241,2.8798168498709686,3.4278114827951507,fit
19361,Corbin Burnes,2025,ERA,2.6580310880829017,3.3738689477177815,3.0023828162821493,3.773374825063143,fit
20778,Cristopher Sánchez,2023,ERA,3.4429530201342287,3.6064063946992286,3.2105427163185087,4.01748432552456,fit
20778,Cristopher Sánchez,2024,ERA,3.319266055045872,3.2977721491161525,3.023276290766327,3.583410362532275,fit
20778,Cristopher Sánchez,2025,ERA,2.4950495049504955,3.2135906593029464,2.9222801139889105,3.5191826945370073,fit
19350,Dean Kremer,2021,ERA,7.546583850931677,4.880828440695236,4.319749371311993,5.482560087680718,fit
19350,Dean Kremer,2022,ERA,3.231382978723405,4.250278379328092,3.887793014803923,4.641537006928029,fit
19350,Dean Kremer,2023,ERA,4.117760617760618,4.485016111859233,4.175720500508712,4.80685665865934,fit
19350,Dean Kremer,2024,ERA,4.095115681233934,4.0700150161691955,3.778689215554571,4.375289204290691,fit
19350,Dean Kremer,2025,ERA,4.194174757281553,3.933440918350278,3.563422331827693,4.318147485319985,fit
25385,Drew Rasmussen,2022,ERA,2.835616438356164,3.049157264441215,2.680295989185451,3.4354764519427423,fit
25385,Drew Rasmussen,2023,ERA,2.6194029850746268,3.3668464259826507,3.033582562857154,3.7183771765094185,fit
25385,Drew Rasmussen,2025,ERA,2.76,3.235805373255984,2.8563560714185887,3.659871487577289,fit
18525,Dylan Cease,2019,ERA,5.794520547945206,4.502917208399978,3.9797898766140802,5.0602048161617805,fit
18525,Dylan Cease,2020,ERA,4.011428571428571,4.211063906007663,3.8040451554596815,4.63997631470833,fit
18525,Dylan Cease,2021,ERA,3.911468812877264,3.948352608053065,3.6500995693276086,4.258008472013377,fit
18525,Dylan Cease,2022,ERA,2.2010869565217392,3.583908413176976,3.3595261616810226,3.820345402260239,fit
18525,Dylan Cease,2023,ERA,4.576271186440678,3.9405154064552126,3.70126250123692,4.196110954019313,fit
18525,Dylan Cease,2024,ERA,3.4700704225352106,3.724645400387215,3.4637360982420318,3.9978762455165375,fit
18525,Dylan Cease,2025,ERA,4.553571428571429,3.7481082033427082,3.4288891466735074,4.080155830327848,fit
21690,Edward Cabrera,2021,ERA,5.810126582278481,4.4506813226035975,3.8033485594093737,5.154552331139213,fit
21690,Edward Cabrera,2022,ERA,3.013953488372093,3.96976357663361,3.517379073301703,4.446095551760236,fit
21690,Edward Cabrera,2023,ERA,4.244147157190635,4.291100129783129,3.906139474469178,4.692844028854249,fit
21690,Edward Cabrera,2024,ERA,4.951557093425606,3.9895753515408234,3.65464842757861,4.33795861509823,fit
21690,Edward Cabrera,2025,ERA,3.5302663438256663,3.9506676842377697,3.564079310925472,4.372578376936182,fit
29839,Emmet Sheehan,2023,ERA,4.9226519337016565,3.869603003693044,3.246730546858133,4.567811276667444,fit
29839,Emmet Sheehan,2025,ERA,2.8227272727272728,3.508427297748913,3.0456682128651873,3.995739591116085,fit
19316,Eric Lauer,2018,ERA,4.339285714285714,4.548731698473614,4.071005492741919,5.0598349538061465,fit
19316,Eric Lauer,2019,ERA,4.44988864142539,4.644378979767563,4.245533180051672,5.072536680919903,fit
19316,Eric Lauer,2021,ERA,3.1853932584269655,4.047283404380383,3.7753778011087813,4.334906013284531,fit
19316,Eric Lauer,2022,ERA,3.6869747899159666,3.66214267804684,3.408253156456711,3.934875234047504,fit
19316,Eric Lauer,2023,ERA,6.557142857142858,4.013783026464174,3.6877096413677957,4.35723283887595,fit
19316,Eric Lauer,2025,ERA,3.1815286624203813,3.793235372998013,3.344320450872762,4.257072553898054,fit
27768,Eury Pérez,2023,ERA,3.1532846715328473,3.637121900671077,3.097357292458994,4.233688213664924,fit
27768,Eury Pérez,2025,ERA,4.248251748251749,3.4794220765460806,3.0472505114168307,3.945045517431441,fit
17295,Framber Valdez,2018,ERA,2.1891891891891895,3.4009976664450496,2.9156617346634817,3.9194508258980854,fit
17295,Framber Valdez,2020,ERA,3.5660377358490565,3.392299885430692,3.0611863532298953,3.744245841425819,fit
17295,Framber Valdez,2021,ERA,3.1410891089108914,3.245980327726398,2.9985625747029343,3.506878528515081,fit
17295,Framber Valdez,2022,ERA,2.8162251655629134,3.0069009591665146,2.811884527689927,3.2108273944604973,fit
17295,Framber Valdez,2023,ERA,3.454545454545454,3.374194033827859,3.157405213298755,3.5938723627845244,fit
17295,Framber Valdez,2024,ERA,2.9092627599243857,3.255013300877741,3.017803713431429,3.500200654497117,fit
17295,Framber Valdez,2025,ERA,3.65625,3.343061092884052,3.044478840628322,3.6585434354675694,fit
18679,Freddy Peralta,2018,ERA,4.251063829787234,3.3844738278073834,2.890009591413847,3.9189453720674092,fit
18679,Freddy Peralta,2021,ERA,2.8060046189376444,3.222904622736745,2.9481052387890307,3.5070564206080896,fit
