playerid,PlayerName,Season,metric,observed,fitted_mean,fitted_p05,fitted_p95,type
29911,Andrew Abbott,2023,WHIP,1.3170731707317076,1.2880868902439027,1.0975609756097562,1.4908536585365857,fit
29911,Andrew Abbott,2024,WHIP,1.2971014492753623,1.2150157004830917,1.0579710144927537,1.3840579710144927,fit
29911,Andrew Abbott,2025,WHIP,1.1482965931863727,1.1874008016032063,1.034068136272545,1.3406813627254508,fit
29914,Andrew Alvarez,2025,WHIP,1.1142857142857143,1.2429285714285714,0.8571428571428572,1.6714285714285715,fit
16162,Brandon Woodruff,2019,WHIP,1.1424657534246574,1.0974205479452053,0.9369863013698628,1.2657534246575342,fit
16162,Brandon Woodruff,2020,WHIP,0.9909502262443438,1.0442058823529412,0.841628959276018,1.248868778280543,fit
16162,Brandon Woodruff,2021,WHIP,0.9646840148698884,1.0044795539033458,0.8754646840148699,1.1375464684014869,fit
16162,Brandon Woodruff,2022,WHIP,1.0695652173913044,0.974641304347826,0.8409782608695651,1.1152173913043477,fit
16162,Brandon Woodruff,2023,WHIP,0.8208955223880597,1.0109850746268656,0.8059701492537313,1.2238805970149254,fit
16162,Brandon Woodruff,2025,WHIP,0.9123711340206185,0.9928427835051545,0.7731958762886597,1.2216494845360824,fit
21844,Braxton Garrett,2021,WHIP,1.8235294117647058,1.3437107843137255,1,1.7058823529411764,fit
21844,Braxton Garrett,2022,WHIP,1.25,1.2504583333333332,1.0454545454545454,1.4545454545454546,fit
21844,Braxton Garrett,2023,WHIP,1.1461377870563676,1.2451659707724427,1.0897703549060545,1.4091858037578289,fit
21844,Braxton Garrett,2024,WHIP,1.1891891891891893,1.1712657657657657,0.8918918918918919,1.4864864864864864,fit
23920,Brayan Bello,2022,WHIP,1.7790697674418603,1.338328488372093,1.0813953488372092,1.6046511627906976,fit
23920,Brayan Bello,2023,WHIP,1.3375796178343948,1.352788747346072,1.1910828025477707,1.5222929936305734,fit
23920,Brayan Bello,2024,WHIP,1.3613963039014374,1.287348049281314,1.1334702258726899,1.4476386036960984,fit
23920,Brayan Bello,2025,WHIP,1.236,1.269118,1.11,1.4280000000000002,fit
30279,Bryan Woo,2023,WHIP,1.209125475285171,1.1230342205323196,0.923954372623574,1.3231939163498099,fit
30279,Bryan Woo,2024,WHIP,0.8983516483516485,1.0470164835164837,0.8896978021978023,1.2115384615384617,fit
30279,Bryan Woo,2025,WHIP,0.9267857142857144,1.0082375000000001,0.8785714285714288,1.1410714285714287,fit
31872,Cade Horton,2025,WHIP,1.0847457627118644,1.1440282485875706,0.9656779661016949,1.3389830508474576,fit
32095,Cam Schlittler,2025,WHIP,1.2191780821917808,1.1688698630136987,0.9452054794520548,1.4109589041095891,fit
16137,Carlos Rodón,2018,WHIP,1.2596685082872927,1.2308950276243091,1.0524861878453038,1.4171270718232043,fit
16137,Carlos Rodón,2019,WHIP,1.4423076923076925,1.220831730769231,0.9230769230769231,1.5576923076923077,fit
