playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
29911,Andrew Abbott,2023,W,0.07317073170731708,0.05959908536585366,0.027439024390243906,0.100609756097561,fit
29911,Andrew Abbott,2024,W,0.07246376811594203,0.06159782608695653,0.028985507246376812,0.10144927536231885,fit
29911,Andrew Abbott,2025,W,0.06012024048096192,0.06352204408817634,0.03006012024048096,0.09619238476953908,fit
29914,Andrew Alvarez,2025,W,0.04285714285714286,0.05780000000000001,0,0.17142857142857143,fit
13543,Blake Snell,2018,W,0.11623616236162364,0.07335701107011072,0.03874538745387455,0.11070110701107014,fit
13543,Blake Snell,2019,W,0.056074766355140186,0.074702492211838,0.037383177570093455,0.12149532710280374,fit
13543,Blake Snell,2020,W,0.08,0.07457666666666667,0.02,0.14,fit
13543,Blake Snell,2021,W,0.05440414507772021,0.07411528497409327,0.03886010362694301,0.11658031088082903,fit
13543,Blake Snell,2022,W,0.0625,0.07386458333333332,0.0390625,0.1171875,fit
13543,Blake Snell,2023,W,0.07777777777777778,0.07195,0.03888888888888889,0.10555555555555556,fit
13543,Blake Snell,2024,W,0.04807692307692308,0.07034455128205129,0.028846153846153848,0.11538461538461539,fit
13543,Blake Snell,2025,W,0.08152173913043478,0.06675271739130434,0.016304347826086956,0.13043478260869565,fit
16162,Brandon Woodruff,2019,W,0.09041095890410958,0.07073424657534244,0.03287671232876712,0.11506849315068492,fit
16162,Brandon Woodruff,2020,W,0.04072398190045248,0.07359276018099546,0.027149321266968323,0.13574660633484162,fit
16162,Brandon Woodruff,2021,W,0.05018587360594795,0.07532620817843866,0.04460966542750929,0.11152416356877323,fit
16162,Brandon Woodruff,2022,W,0.08478260869565217,0.07707173913043477,0.03913043478260869,0.11739130434782608,fit
16162,Brandon Woodruff,2023,W,0.07462686567164178,0.0783731343283582,0.029850746268656716,0.13432835820895522,fit
16162,Brandon Woodruff,2025,W,0.10824742268041236,0.07768814432989689,0.03092783505154639,0.13917525773195874,fit
21844,Braxton Garrett,2021,W,0.029411764705882353,0.04930392156862745,0,0.11764705882352941,fit
21844,Braxton Garrett,2022,W,0.03409090909090909,0.05319128787878788,0.011363636363636364,0.10227272727272728,fit
21844,Braxton Garrett,2023,W,0.05636743215031315,0.0574070981210856,0.025052192066805846,0.09394572025052193,fit
21844,Braxton Garrett,2024,W,0.05405405405405406,0.05986936936936937,0,0.13513513513513514,fit
23920,Brayan Bello,2022,W,0.03488372093023256,0.05445639534883721,0.01744186046511628,0.10465116279069767,fit
23920,Brayan Bello,2023,W,0.07643312101910828,0.056930997876857764,0.025477707006369428,0.08917197452229299,fit
23920,Brayan Bello,2024,W,0.08624229979466119,0.058404517453798765,0.030800821355236138,0.09240246406570841,fit
23920,Brayan Bello,2025,W,0.066,0.05997299999999999,0.030000000000000002,0.096,fit
30279,Bryan Woo,2023,W,0.04562737642585551,0.06448098859315589,0.022813688212927754,0.11406844106463877,fit
30279,Bryan Woo,2024,W,0.07417582417582419,0.06902747252747253,0.032967032967032975,0.1153846153846154,fit
30279,Bryan Woo,2025,W,0.08035714285714288,0.07274642857142859,0.042857142857142864,0.10714285714285716,fit
31872,Cade Horton,2025,W,0.09322033898305085,0.06463841807909604,0.025423728813559324,0.11016949152542373,fit
32095,Cam Schlittler,2025,W,0.0547945205479452,0.0635525114155251,0.0136986301369863,0.1232876712328767,fit
16137,Carlos Rodón,2018,W,0.04972375690607734,0.06177900552486187,0.02486187845303867,0.09944751381215468,fit
16137,Carlos Rodón,2019,W,0.08653846153846155,0.06376923076923077,0,0.14423076923076925,fit
16137,Carlos Rodón,2021,W,0.09798994974874373,0.06773869346733669,0.030150753768844223,0.10552763819095479,fit
16137,Carlos Rodón,2022,W,0.07865168539325842,0.06900280898876404,0.03932584269662921,0.10674157303370786,fit
16137,Carlos Rodón,2023,W,0.04663212435233161,0.06907512953367877,0.015544041450777204,0.12435233160621763,fit
16137,Carlos Rodón,2024,W,0.09142857142857143,0.06970380952380953,0.04,0.10857142857142857,fit
16137,Carlos Rodón,2025,W,0.09215017064846415,0.0686527303754266,0.03583617747440272,0.1023890784982935,fit
12304,Chris Bassitt,2018,W,0.04195804195804196,0.06902447552447552,0.02097902097902098,0.14685314685314685,fit
