playerid,PlayerName,position,Team,PA_atc,H_mean,H_p05,H_p50,H_p95,H_mean_t,H_p05_t,H_p50_t,H_p95_t,R_mean,R_p05,R_p50,R_p95,R_mean_t,R_p05_t,R_p50_t,R_p95_t,RBI_mean,RBI_p05,RBI_p50,RBI_p95,RBI_mean_t,RBI_p05_t,RBI_p50_t,RBI_p95_t,HR_mean,HR_p05,HR_p50,HR_p95,HR_mean_t,HR_p05_t,HR_p50_t,HR_p95_t,SB_mean,SB_p05,SB_p50,SB_p95,SB_mean_t,SB_p05_t,SB_p50_t,SB_p95_t,AVG_mean,AVG_p05,AVG_p50,AVG_p95,OBP_mean,OBP_p05,OBP_p50,OBP_p95,SLG_mean,SLG_p05,SLG_p50,SLG_p95
2396,Carlos Santana,1B,ARI,357,0.19203283623959047,0.15074055758212754,0.19116321850201298,0.2358810060557789,68.45750000000001,53,68,85,0.1053437373616009,0.07398831025568511,0.1042775483058396,0.13931196186774525,37.55816666666666,26,37,50,0.1158248660609447,0.08247485689473895,0.11479000559622465,0.15230813281193759,41.298500000000004,29,41,55,0.030653815380455647,0.014114040196144005,0.029800285695038932,0.05007860072517315,10.92616666666667,5,11,18,0.005854332116947086,0,0.005487316422482376,0.01452035534005886,2.087166666666667,0,2,5,0.2137140027686074,0.19363208311575766,0.21319750679238042,0.23552545656079005,0.3031868048669424,0.27888471546639365,0.3027834763266854,0.3274951386663157,0.3492744193689793,0.3095575836499812,0.3484554588379373,0.39144288551069556
2967,Tommy Pham,OF,NA,266,0.20597453961138093,0.15828427434628417,0.20550137442040167,0.2566692021166486,54.76983333333333,41,55,69,0.11050854329325722,0.07550138553831492,0.10993004791463262,0.1476800547836304,29.379833333333334,20,29,40,0.10236307174088616,0.06855698271158103,0.101200374874482,0.14014754158253986,27.214833333333335,18,27,37,0.02421899521748071,0.00783827785989685,0.02313079058919296,0.04268712489528113,6.441166666666667,2,6,11,0.012831982711404028,0.003394234192332412,0.011522816459230728,0.026840337038207478,3.412333333333332,1,3,7,0.229461593968984,0.20935579446514446,0.22897773621644696,0.250326393537267,0.3075872024984437,0.2843242374176769,0.30731944686722884,0.33151726504148626,0.3565839813646551,0.3203076188276101,0.3557385013969919,0.3954950558694114
4949,Giancarlo Stanton,DH/OF,NYY,413,0.20574244009052642,0.16568459190159143,0.20520640451366048,0.24848952040246938,84.94900000000003,67,85,104,0.11000839966947029,0.08056325346465194,0.10904921001816098,0.14371181528816024,45.42850000000001,33,45,60,0.17556884780204296,0.13390704585875496,0.17448284140646314,0.22150118961930426,72.47866666666668,55,72,92,0.07288533885579641,0.0440149492789179,0.07145837829116398,0.10626597540849855,30.093833333333333,18,29,44,2.6874042085488225e-4,0,0,0.0024342874043038853,0.11099999999999952,0,0,1,0.2304531090387137,0.20982213436883063,0.2302324568522237,0.2519479765318986,0.3098417028261535,0.28609619998317704,0.30941133634144424,0.3342843981484737,0.47601507940532073,0.42510592290364857,0.4747090196406566,0.5309722311513418
5235,Justin Turner,3B,NA,210,0.2109426306848494,0.1565662242442661,0.20962641750447708,0.2701400135887921,44.36899999999999,32,44,57,0.10045027376808267,0.06324949504688428,0.09981276225032498,0.14129857555144076,21.122333333333337,13,21,30,0.1136444231400587,0.07312782099413709,0.1125192184752797,0.15785972820815355,23.89733333333333,15,24,34,0.023214724326342456,0.0051203378644435376,0.02230416982064995,0.04400926086354592,4.881333333333335,1,5,9,0.0037567580101640877,0,0.004358365375438906,0.013787091321268142,0.7898333333333329,0,1,3,0.23430948206450525,0.21143581534236594,0.23411512642271703,0.25756670342034804,0.311234568245829,0.2858684795333088,0.3107277820003269,0.33790875639371903,0.34939424777130074,0.3083405176175659,0.3486443716614107,0.39277456451843956
5361,Freddie Freeman,1B,LAD,651,0.2578975293812526,0.21970194386736686,0.25758145289134593,0.29637353107420794,167.7745,140,167,198,0.14505346972617805,0.11562503161883332,0.14429482349699696,0.17774942587113357,94.37316666666668,74,94,117,0.14094877784894003,0.11046317499620598,0.14036135869780964,0.1735770313605282,91.69800000000001,71,91,115,0.038279128870998866,0.0224781456201867,0.037544551973279564,0.05643638782146668,24.90316666666667,14,24,37,0.01444532376430337,0.00592941197630628,0.013781128205224983,0.025457258856400957,9.400166666666667,4,9,17,0.2948947079635519,0.2718163724874996,0.2944245381973536,0.3188458154824409,0.3792133680743882,0.35512519932528336,0.37896619224988237,0.4044297437859514,0.489000495934756,0.4422825362550418,0.4884542466589139,0.5380921510900991
5417,Jose Altuve,2B,HOU,623,0.2489686557069196,0.21171646789223486,0.24838223901261866,0.28793563560820357,155.23600000000005,128,155,183,0.14418900546533328,0.1133857554645279,0.14353124484075785,0.17797862954613528,89.885,70,89,112,0.1184530691053994,0.09121700665885946,0.11775645922281854,0.14827483723808518,73.84133333333332,56,73,93,0.034184939370561385,0.019445032250916063,0.03340400093752994,0.05132523629163607,21.315,12,21,32,0.017917843199764603,0.007591684745826188,0.017256730458918675,0.030708629974511948,11.166333333333329,5,11,19,0.2792426953858058,0.2568733117601754,0.27894084585087997,0.30250926234456654,0.3477134314596578,0.3236822675758372,0.34726326336156843,0.37296816231632196,0.4521060144550172,0.4070013982782277,0.45030695174086505,0.5000494693255013
5517,Kyle Higashioka,C,TEX,283,0.21644636285856628,0.1686389123616731,0.2155158663236742,0.2672128732605832,61.33216666666666,47,61,77,0.1080368518349624,0.072395215037727,0.10714428980886057,0.14588950469087114,30.61366666666667,20,30,42,0.15500604623553835,0.1102063413310273,0.1541575828161228,0.20334674361939495,43.92566666666667,31,44,58,0.05366653223360477,0.027053443407233587,0.05246920658156963,0.08425590814131884,15.203666666666669,8,15,24,0.0029289749094524717,0,0.003240170119745692,0.010500203449478855,0.8304999999999993,0,1,3,0.2354980980738564,0.2123050576750017,0.23514927515204165,0.26043697733437565,0.28906761097807504,0.26437047203434166,0.2888641319042128,0.3142045956887356,0.44171162784448853,0.39062714249276614,0.4404900470579143,0.4976431622490225
5827,Wilmer Flores,1B,NA,203,0.21147619716525176,0.1569604030941738,0.21064880125795013,0.27009762357357253,42.929,32,43,55,0.10211179052820914,0.06463678602735513,0.10079786754999391,0.14397365223978317,20.731000000000005,13,20,29,0.1264035798612273,0.08241900337180826,0.1256521150391801,0.17335122458020363,25.662666666666667,16,25,36,0.032217364069425616,0.010265274192053359,0.03092236818145596,0.05766407866032464,6.5465,2,6,12,9.626374238467303e-4,0,0,0.005125789651714332,0.1959999999999997,0,0,1,0.23361849121077452,0.21252094053060822,0.23314724402463421,0.25509423716322915,0.3027561042827674,0.2803690689005343,0.3024987678705872,0.3257129529760199,0.388217979363311,0.3498908330889369,0.3873569415053456,0.42931868017664965
7304,Salvador Perez,C,KCR,626,0.22675266488649914,0.19071349990484793,0.22655300108865792,0.2647859845851126,141.851,117,142,168,0.0950371227620184,0.0714594030982688,0.09448785563984417,0.12101304100882238,59.45283333333333,44,59,76,0.15474420583717738,0.12142051046647075,0.15361842233688314,0.19085389321313517,96.80466666666666,74,96,121,0.04924299738407379,0.03072691531155452,0.04811935097332637,0.07156344500230045,30.810000000000016,19,30,45,2.98456012891068e-4,0,0,0.0016607259296867525,0.18683333333333377,0,0,1,0.2464933248528571,0.2259231860510699,0.24603654828197252,0.26794552755300116,0.2962306832611447,0.27419710027673166,0.29582665184189083,0.3198074554748691,0.4432798114785944,0.40038005651685904,0.4419437569266407,0.489349821480738
7739,Travis d'Arnaud,C,LAA,231,0.1988776158449138,0.14875757682515628,0.19772748128906098,0.2530714686368241,45.96333333333334,34,46,59,0.09012209088227838,0.05601972876912119,0.08926453996794542,0.12818231457064708,20.831833333333332,13,21,30,0.11685537362674127,0.07653251956349208,0.11529146438847737,0.16193126490383955,27.010000000000005,18,27,38,0.030992813691253288,0.012565002130798085,0.02980585654207655,0.055049585335525834,7.161833333333333,3,7,13,6.591767592815442e-4,0,0,0.004463593945769861,0.1525000000000001,0,0,1,0.2151290652457137,0.1938154060832402,0.21484785334877932,0.23732484890199707,0.27562206425241476,0.2535207322601595,0.27513148663353737,0.29934317144933686,0.3558498899635097,0.31635431840601946,0.35477132627661,0.39893206526141883
