playerid,PlayerName,Team,role,IP_atc,z_ERA_p50,z_WHIP_p50,z_IP_p50,z_W_p50,z_Ks_p50,z_SVH_p50,composite_mean,composite_p05,composite_p50,composite_p95,expected_rank_overall,p_top20_overall,p_top50_overall,expected_rank_role,p_top20_role,p_top50_role
3096,Kenley Jansen,DET,RP,60,0.45062949822983434,0.5357235325025472,0.5447087308388365,0.44540162940462086,0.5442594859146899,1.5243787031665068,0.6983799527257515,0.12624129751348556,0.6860364651862085,1.3178597558651233,60.62266666666667,0.1245,0.457,60.62266666666667,0.1245,0.457
3237,T.J. McFarland,NA,RP,24,-0.5258247877507034,-0.5626579693956695,-1.2974426398886907,-0.8455050255538809,-1.5129534976775436,-0.698338781560056,-0.909827018858005,-1.4059463997558543,-0.8980575829851805,-0.44223972904847075,275.07216666666665,0,0,275.07216666666665,0,0
4301,Justin Wilson,NA,RP,45,-0.9502386648982776,-0.6985359297158991,-0.21914876374078826,-0.3411542418019882,-0.2780797635932478,-0.5531095330117222,-0.4863256443230029,-0.9812244910246717,-0.49356086585511805,0.007337166836051505,227.82816666666668,0,0,227.82816666666668,0,0
5615,Ryan Brasier,TEX,RP,44,-0.6819228651676053,-0.21860760985470218,-0.2615816422449677,-0.7423327666725512,-0.6471399269937881,-0.6483832826427599,-0.5043373797819991,-0.9685523389694769,-0.49872535031839793,-0.046183622547669584,230.92516666666666,0,0,230.92516666666666,0,0
6107,Huascar Brazobán,NYM,RP,52,-0.14494333298150325,-0.27121049745138204,0.14030883736826955,-0.16223343075382923,-0.04333808689147835,-0.609887659026176,-0.15595154798626285,-0.6458228374591874,-0.15438799786374502,0.32569668500967003,178.27266666666668,0,0.0028333333333333335,178.27266666666668,0,0.0028333333333333335
6655,Craig Kimbrel,NYM,RP,32,-0.3002630341454523,-0.06872256587872594,-0.8810267583057331,-0.256820750369534,-0.44905250354075704,-0.5640493159540089,-0.4003513219199585,-0.8876074530078266,-0.397095437140212,0.07873307772468965,215.89033333333333,0,0,215.89033333333333,0,0
6984,Luis García,NYM,RP,60,-0.5254366281894048,-0.3959882801273201,0.576465521153972,-0.008285197447856512,-0.04003434434586792,-0.5341097029828471,-0.14271076481616157,-0.6227734207477993,-0.14938606750095873,0.37171371196251246,176.3545,0,0.0026666666666666666,176.3545,0,0.0026666666666666666
7048,Fernando Cruz,NYY,RP,61,-0.4980148596731454,-0.410140394293518,0.6123782212632394,-0.011032285141679952,1.432869597427417,0.8476998522281414,0.3540401523895838,-0.2419326709285693,0.33973963130783935,0.9822808672714347,102.43783333333333,0.0265,0.162,102.43783333333333,0.0265,0.162
7836,Hunter Strickland,LAA,RP,14,0.06663522739410171,-0.023103554017470673,-1.807974298422446,-1.1719442107211075,-1.6425103250694888,-0.8378563498954059,-0.893583366749566,-1.4455857967080283,-0.8754495466321514,-0.40735241020349844,272.92383333333333,0,0,272.92383333333333,0,0
9073,Kirby Yates,LAA,RP,56,0.5769003176617069,0.3771205986230605,0.3592494117437972,0.5949865176502256,0.7299759973187161,0.7220554781519748,0.5895581039529568,0.022317740263199486,0.5778145846311644,1.208757148933651,72.46666666666667,0.07966666666666666,0.3403333333333333,72.46666666666667,0.07966666666666666,0.3403333333333333
