playerid,PlayerName,role,Team,IP_atc,SO_mean,SO_p05,SO_p50,SO_p95,BB_mean,BB_p05,BB_p50,BB_p95,H_mean,H_p05,H_p50,H_p95,ER_mean,ER_p05,ER_p50,ER_p95,W_mean,W_p05,W_p50,W_p95,QS_mean,QS_p05,QS_p50,QS_p95,WHIP_mean,WHIP_p05,WHIP_p50,WHIP_p95,Ks_mean,Ks_p05,Ks_p50,Ks_p95,W_mean_t,W_p05_t,W_p50_t,W_p95_t,QS_mean_t,QS_p05_t,QS_p50_t,QS_p95_t,ERA_mean,ERA_p05,ERA_p50,ERA_p95,K9_mean,K9_p05,K9_p50,K9_p95,BB9_mean,BB9_p05,BB9_p50,BB9_p95
3137,Max Scherzer,SP,NA,111,0.9105400841413126,0.7377622729263723,0.9072215859421344,1.0980131600202194,0.3043140132251141,0.20916520270461347,0.3011243939764586,0.4110086795286576,0.9970551095582878,0.8156647207875737,0.9954544763735019,1.1826855997582935,0.5219085707286213,0.3797014789123663,0.5175239095837243,0.6755024524039054,0.0553935477470079,0.01941071910191089,0.053280011655101475,0.09705686036979098,0.05624652471142028,0.019171121924413444,0.05380549133704452,0.10000940663687857,1.3013691227834019,1.0944235015953447,1.2981262278609038,1.5131839135452256,100.8165,77,100,128,6.137166666666666,2,6,11,6.223833333333333,2,6,11,4.697177136557592,3.4173133102112967,4.657715186253519,6.079522071635148,8.194860757271814,6.639860456337351,8.16499427347921,9.882118440181975,2.738826119026027,1.8824868243415214,2.7101195457881277,3.6990781157579185
4676,Charlie Morton,SP,NA,52,0.9094083749566839,0.6784639230090814,0.9051146657165507,1.1585020807437911,0.5667046606691095,0.38322802731379524,0.5624502566451519,0.7644662175265318,1.055860443212774,0.8068531787811969,1.0510513649080622,1.318046811653993,0.6469594755020094,0.45035833966266287,0.6429837098950733,0.8609690767626393,0.049291332644860984,0,0.043005147495525385,0.10772381378090448,0.04221624363756281,0,0.03890732057327936,0.09403502868286887,1.6225651038818836,1.3132361022881642,1.61794107696565,1.94393860946956,47.232,33,47,62,2.56,0,2,6,2.1936666666666667,0,2,5,5.822635279518084,4.053225056963965,5.7868533890556595,7.748721690863754,8.184675374610155,6.106175307081733,8.146031991448957,10.42651872669412,5.100341946021985,3.449052245824157,5.062052309806367,6.880195957738786
6175,Albert Suárez,SP,BAL,25,0.7657674962306965,0.4670212819255431,0.7575617524985252,1.0900279431046287,0.3373119232667182,0.14337957453553818,0.3301964303040541,0.5604685105769244,1.007697684216385,0.6727481600912987,1.0001084765953943,1.3735323102368782,0.4934444514267995,0.25653652487502754,0.4847042594263274,0.7575084411945335,0.056664653474365015,0,0.042933069861751896,0.14761656489580732,0.05938864636491631,0,0.04383750127316974,0.15365601476760773,1.3450096074831033,0.9638248816946938,1.3354669125068146,1.7623557381241346,19.130166666666668,11,19,28,1.418,0,1,4,1.486,0,1,4,4.441000062841195,2.308828723875248,4.362338334836947,6.817575970750802,6.891907466076269,4.203191537329888,6.818055772486726,9.810251487941658,3.035807309400464,1.2904161708198436,2.971767872736487,5.044216595192319
6902,Martín Pérez,SP,ATL,45,0.7064707441149309,0.49329983748867007,0.7002904128227596,0.9407442650316717,0.3524535773000437,0.20617458699016675,0.3473753350116477,0.5162362011810534,1.0130615725745622,0.7556943860153947,1.006297605571781,1.2884019563323694,0.46444986034163344,0.28667316509761515,0.45865245767014334,0.6629124757278857,0.055799498507749144,0,0.04895135222278911,0.12132768139771269,0.06737747484569429,0,0.06498211174829999,0.13967842704654518,1.3655151498746059,1.0668877724642047,1.3580635624118362,1.6845978544049047,31.878666666666668,21,31,44,2.521333333333333,0,2,6,3.0443333333333333,0,3,6,4.180048743074701,2.5800584858785363,4.12787211903129,5.9662122815509715,6.358236697034378,4.439698537398031,6.302613715404837,8.466698385285046,3.1720821957003933,1.8555712829115008,3.1263780151048293,4.6461258106294805
8700,Justin Verlander,SP,DET,141,0.7681917259802443,0.6267178849946728,0.765268658421411,0.9198260795796013,0.37141576725182396,0.27179669219591235,0.368082435715535,0.4779496281815003,0.9958776898358159,0.8323300934686961,0.9919829078779694,1.1690446653510687,0.5333995041281357,0.4037609573916311,0.5294914179716823,0.6730462278757698,0.051402343220873316,0.020329708136009154,0.04987306092081195,0.08837328818058385,0.05146084513157517,0.02053112990780148,0.04984722480998642,0.08838285663306408,1.3672934570876398,1.172341640593349,1.3659809776122953,1.568648845661579,108.19683333333333,82,107,137,7.2405,3,7,13,7.246833333333333,3,7,13,4.800595537153222,3.6338486165246797,4.765422761745141,6.057416050881929,6.913725533822199,5.640460964952055,6.887417925792699,8.278434716216411,3.342741905266416,2.446170229763211,3.312741921439815,4.301546653633502
9132,Nathan Eovaldi,SP,TEX,173,0.9084933613496687,0.7623012883018782,0.90588109983490706,1.0641759178624106,0.24400298431087056,0.17344266314568801,0.24204277563612825,0.32221599689981956,0.8718455847833637,0.7331800925513505,0.8700822553277211,1.0156436262219053,0.3725209390866926,0.2787381971407518,0.3701267735982154,0.4763933330348724,0.06799331883837659,0.035350872046753155,0.06671113620789268,0.10632165017742341,0.08609065622301078,0.0470701457192228,0.08449324401069543,0.131390114415541,1.1158485690942344,0.9611031632043743,1.1161563045597918,1.276431272344892,157.42216666666667,122,157,197,11.766833333333333,6,11,19,14.912333333333333,8,15,23,3.3526884517802333,2.5086437742667664,3.3311409623839383,4.287539997313852,8.17644025214702,6.8607115947169035,8.152929898514163,9.577583260761696,2.196026858797835,1.5609839683111921,2.1783849807251543,2.899943972098376
9323,Patrick Corbin,SP,NA,113,0.6572754421732678,0.5166693645979137,0.6555855483503217,0.8071121260114416,0.3749069215385136,0.26910443479092166,0.37174755312125496,0.4907804741136488,1.360233369069168,1.1510538365164873,1.3555908055936263,1.5748856924225505,0.8031399675369063,0.6285723000387475,0.7972446660285717,0.9929973168665118,0.03949061780707779,0.009637606633158281,0.0378992481052399,0.07421421749827922,0.04218825739488289,0.009982954504641687,0.04055504826170325,0.07842232177899808,1.7351402906076814,1.503223881992369,1.7336850572407712,1.9744870186079955,74.48066666666666,55,74,96,4.479666666666667,1,4,8,4.782166666666667,1,5,9,7.228259707832157,5.657150700348728,7.1752019942571454,8.936975851798607,5.915478979559411,4.650024281381223,5.900269935152895,7.264009134102974,3.3741622938466227,2.421939913118295,3.3457279780912947,4.417024267022839
9803,Miles Mikolas,SP,WSN,141,0.5932153663314205,0.47009248683975136,0.591059265862603,0.7204831394571649,0.2292090107702051,0.15663315586768137,0.2270335945872683,0.3079989627778546,1.219858177458906,1.039198213834643,1.2177884496057927,1.4060406369728402,0.6240193696590335,0.4839776955768133,0.6217258465940739,0.7757656601511079,0.04744234706275368,0.018295724545293,0.04628366673979048,0.08038622791699732,0.055104818699152194,0.022846309724802946,0.05338452158155616,0.09258862913252427,1.449067188229111,1.2529931139329502,1.4480362698645384,1.6495784822127395,83.61766666666666,62,83,107,6.688833333333333,3,6,11,7.7668333333333335,3,8,13,5.616174326931302,4.355799260191319,5.595532619346665,6.981890941359971,5.338938296982784,4.230832381557763,5.319533392763427,6.484348255114484,2.062881096931846,1.4096984028091324,2.0433023512854147,2.7719906650006916
10310,Zack Wheeler,SP,PHI,147,1.1216536943799567,0.9476649429394446,1.1185522866394968,1.3054626705548757,0.2196390077419293,0.14946134513955647,0.21879454289470118,0.2955892527609472,0.7894909257218694,0.6483472790523235,0.7894056121997584,0.9321231926291864,0.3239758992366088,0.23379478733519118,0.321354744258965,0.41973838546029446,0.07424669429795148,0.037229054166057214,0.07283259817472065,0.11643838243012862,0.10649150897610123,0.05917427164026128,0.10507663975581835,0.15954980536697813,1.0091299334637986,0.8525614752968871,1.0087769398249002,1.1646799087756017,164.65366666666668,129,163,205,10.8975,5,11,17,15.634333333333334,8,15,24,2.915783093129479,2.1041530860167206,2.892192698330685,3.77764546914265,10.09488324941961,8.528984486455002,10.066970579755472,11.749164034993882,1.9767510696773636,1.3451521062560083,1.9691508860523106,2.660303274848525
10603,Chris Sale,SP,ATL,165,1.1708462088309268,0.988505492044196,1.1685026914166647,1.3604328305496751,0.25608182543677255,0.18158934249241473,0.25330670594796734,0.3367509222709387,0.8596622102377641,0.7233932186727676,0.8566906345511823,1.004132326525115,0.3918061269890778,0.292909430131435,0.38945624432809656,0.4994715056431818,0.06751093375717865,0.03377355927016226,0.06635416568800374,0.10456522512919224,0.07594566992490014,0.038176761520830126,0.0741048195157949,0.11900390034614204,1.1157440356745367,0.9583973284442737,1.1141286038542733,1.2778034125178148,193.39316666666667,151,192,239,11.15,5,11,17,12.542166666666667,6,12,20,3.5262551429017,2.6361848711829152,3.505106198952869,4.495243550788636,10.537615879478341,8.896549428397764,10.516524222749982,12.243895474947076,2.304736428930953,1.6343040824317325,2.279760353531706,3.0307583004384484
