playerid,PlayerName,Team,role,ERA,K9,WHIP,Ks,WQS,IP_atc,z_ERA,z_Ks,z_WHIP,z_IP,z_WQS,composite
3137,Max Scherzer,NA,SP,4.697177136557592,8.194860757271814,1.3013691227834019,101.06994933968569,12.392048042885529,111,-0.13675157493969525,0.09653082552807785,0.12964768731918197,0.14605380406069107,-0.09839385835718634,0.03395580592408431
4676,Charlie Morton,NA,SP,5.822635279518084,8.184675374610157,1.6225651038818836,47.28923549774757,4.758393966686037,52,-0.9880145835299888,-0.7997934802947666,-1.2375349809852894,-0.9003244484117519,-0.8836955550385239,-0.9572843823827896
6175,Albert Suárez,BAL,SP,4.441000062841195,6.891907466076269,1.345009607483103,19.14418740576741,2.901332495982033,25,0.09934618469091946,-1.2674353314150957,-0.00939340076622503,-1.3833294438616588,-1.0663371334353973,-0.7345294225028912
6902,Martín Pérez,ATL,SP,4.180048743074701,6.358236697034378,1.3655151498746059,31.791183485171892,5.542963800904954,45,0.27898027216734733,-1.056164918041743,-0.11869379765015745,-1.024850599553429,-0.8061842777873935,-0.5441487186397749
8700,Justin Verlander,DET,SP,4.800595537153222,6.913725533822199,1.36729345708764,108.31503336321445,14.503709557695236,141,-0.2162370907567887,0.22068700090334653,-0.14823578549402572,0.680555693586,0.12592297104664346,0.1386654380978906
9132,Nathan Eovaldi,TEX,SP,3.3526884517802333,8.17644025214702,1.1158485690942344,157.1693515134927,26.656527685620016,173,0.8869528357173602,1.0408884498479112,0.9173718735054036,1.2619242213136732,1.376070940627773,1.1032263074895727
9323,Patrick Corbin,NA,SP,7.228259707832157,5.915478979559411,1.7351402906076816,74.27212496557927,9.229712897821557,113,-2.060464356984622,-0.3430986529335106,-1.7289806498057718,0.19293737299655556,-0.4142874621920932,-0.8614731530565816
9803,Miles Mikolas,WSN,SP,5.616174326931302,5.338938296982784,1.449067188229111,83.64336665273028,14.459150372428727,141,-0.8385022601821945,-0.1918494988090918,-0.5006580435682794,0.6874709435278947,0.12509355716489118,-0.13697771164720535
10310,Zack Wheeler,PHI,SP,2.915783093129479,10.094883249419611,1.0091299334637986,164.88309307385367,26.568515881285748,147,1.2228690481112183,1.158960220723106,1.3764117780183225,0.7914795591939676,1.3790864192469754,1.1876908676723683
10603,Chris Sale,ATL,SP,3.5262551429017,10.537615879478341,1.1157440356745367,193.18962445710292,23.670339607543003,165,0.750020299284994,1.6472873394473295,0.9281529171662342,1.1212237743010876,1.0782487597227235,1.110671822633368
10954,Jacob deGrom,TEX,SP,2.9033828858856854,10.262229548687847,0.9696226038425741,192.7018659698051,25.93262247105557,169,1.2262042288433146,1.6430948271213452,1.5536383911075125,1.1873340823338876,1.3073510692742332,1.3895321139661811
11156,Merrill Kelly,ARI,SP,3.7184050570787597,7.655792457693186,1.2178774478190157,143.75876948334985,24.08282494018656,169,0.6146155422146681,0.8188153254776495,0.48537738081634946,1.1836833868706456,1.1047531606353305,0.8404098882685745
11423,Jose Quintana,COL,SP,4.217665515538656,6.1754486556234935,1.3664426229129902,98.8071784899759,16.907280510221504,144,0.2246365419228598,0.05877778738446698,-0.150870450552082,0.7377724808231811,0.36978221518825594,0.25920028154212355
11486,Robbie Ray,SFG,SP,3.98117828936401,8.939232369742017,1.2811153859928444,172.82515914834568,23.767726719764063,174,0.4123376829107155,1.3010644219444496,0.22185919459182635,1.2829934227471531,1.086064422903898,0.8629396212763545
11674,Jameson Taillon,CHC,SP,4.322897700802422,6.622551003368832,1.2735580137050866,112.58336705727015,20.068322939094703,153,0.1472389892308776,0.2987100653164797,0.253609180459347,0.9068431840248335,0.7067087907224515,0.4666907067793286
11836,Taijuan Walker,PHI,SP,5.9647324743407255,5.81380609309383,1.6061464264535155,77.51741457458441,10.50497473919944,120,-1.0997747169418783,-0.2940989512333345,-1.1684072135396668,0.31044772863790154,-0.2934399666631731,-0.5040986728487878
12304,Chris Bassitt,BAL,SP,4.506952037446092,7.584023687854499,1.3833054288376463,148.30979656248797,21.510995563455683,176,0.00210367712744402,0.888671317167048,-0.22459762290362265,1.3136607361059458,0.8506076467209649,0.5728325588920038
12317,Colin Rea,CHC,SP,4.772685183289365,6.801576506366906,1.3527018345281663,61.96991928023181,8.597507258968246,82,-0.2000253521179169,-0.55474783061922,-0.08244934286570862,-0.3679334327621652,-0.4860238498966267,-0.33047933507473565
12447,Seth Lugo,KCR,SP,4.0840506062751585,7.194826168869262,1.2938644029574162,127.90802077989798,21.757478345980907,160,0.32804760626849,0.5482925117719215,0.17611908542049098,1.0218217577870208,0.8822185243821514,0.5965582908021115
12718,Adrian Houser,SFG,SP,4.308783172656798,6.310416904842326,1.3438508139996075,103.07014277909134,18.04399546775894,147,0.16557408631220671,0.13834261918843643,-0.04342153293986518,0.7896781125396992,0.4951122129162082,0.31170100628231734
12730,Nick Martinez,TBR,SP,4.602268527810098,6.237372387819815,1.33044846990855,101.87708233439031,17.743820330601526,147,-0.05799180069317218,0.11047308054862195,0.02257718950735377,0.7958570304063313,0.4564486932517282,0.26572747273347197
12768,Sonny Gray,BOS,SP,4.008641353882366,9.072539664813954,1.222738816666011,179.43467337076487,24.38126417518146,178,0.3862395542401245,1.4077131043250983,0.4701938037040115,1.3472157294296778,1.156645744169836,0.9600110875637228
12880,Tyler Anderson,LAA,SP,4.8822397666101836,6.314477222658569,1.4479688292219133,75.07211809160742,10.694469563256886,107,-0.26790985585474947,-0.33305746184630525,-0.48579496022392954,0.07948210619693555,-0.2754800664963819,-0.2530758565955247
12970,Joe Musgrove,SDP,SP,3.4804213830141864,8.893441898695512,1.1328686372553696,156.12931333265453,25.045202350193914,158,0.7869745964053896,1.017233236325098,0.8610960614138965,0.9889814738595984,1.2172641496250582,0.9775751326237576
12972,Joe Ross,ARI,SP,4.1671720592899515,8.277229618891985,1.256290918646997,11.036306158522647,1.5498600503911002,12,0.35855102229005986,-1.4028857870686744,0.4023169545636006,-1.613981654450932,-1.2162323341367358,-0.7085216051616432
13125,Gerrit Cole,NYY,SP,3.640013398551357,9.008341995541734,1.142103983138552,136.12605682151954,20.441636416882556,136,0.668823716911633,0.68862815356087,0.8141867201800739,0.5929776716282978,0.7427689353047144,0.7058686321992182
13164,Eduardo Rodriguez,ARI,SP,5.425793181929042,7.274730638116405,1.5152099530173775,106.69604935904061,13.550458855871572,132,-0.6923182270623051,0.19508473018075523,-0.7740473662878,0.5228827842474251,0.02464369621637142,-0.1391747679726152
13361,Steven Matz,TBR,SP,5.332848721407755,7.4284093912027664,1.4279691653063071,113.90227733177575,14.078954665752653,138,-0.6219321317744864,0.31474927203610525,-0.4044405727104905,0.634932309054133,0.08919723459859558,0.00796524129151955
13431,Marcus Stroman,NA,SP,4.781189823960495,6.177376385065015,1.4561895312470237,46.673510464935674,7.540640354363684,68,-0.1923633161184763,-0.8068518728457861,-0.5066420144592463,-0.6160568400127449,-0.5993475358880502,-0.5392070938623748
13543,Blake Snell,LAD,SP,3.511487476082194,10.756268164525522,1.280305543590571,157.75859974637433,18.081203643438656,132,0.7604769777844431,1.0476837042564071,0.2290417159466519,0.5273434200217707,0.5010660018417483,0.6221212311086732
13619,Jakob Junis,TEX,SP,5.056970725428872,7.455950550676371,1.3748223148619056,53.8485317548849,7.083845852691025,65,-0.3850120697005647,-0.690622773426967,-0.17306470372702076,-0.6704185973382801,-0.6324814558557788,-0.5109415381465078
13649,Clay Holmes,NYM,SP,4.175753634775436,7.380756437907971,1.3074482794765534,125.47285944443551,18.65325149637447,153,0.2609505826148113,0.5049316914018063,0.1085070259596436,0.9013088184298612,0.5491001757930534,0.4690648817691345
13743,Max Fried,NYY,SP,3.2238887711925224,8.47249086825914,1.118491864819246,177.92230823344195,31.873885085827304,189,0.9901121816831868,1.3835328556920046,0.9143199836610918,1.544034142734474,1.92803448855562,1.3524285027493963
13774,Zach Eflin,BAL,SP,4.292852570860347,7.28551746323633,1.2506991213288903,120.61578911357924,20.774999728747847,149,0.1676595505644119,0.4270594936409633,0.35501412376530594,0.8310163130483823,0.7749910447142799,0.5185429765668763
13942,Brent Suter,LAA,SP,4.396216390386378,7.5548736375620775,1.2777466599991738,50.36582425041385,7.309705197985511,60,0.1190622819287424,-0.7479225645832245,0.2456932559562817,-0.7586389730392781,-0.6200456643857422,-0.35567936825286506
14078,Michael Wacha,KCR,SP,3.9179966500702665,7.17713453148419,1.2294459192237293,130.78334035148967,22.510902467862774,164,0.4573761849803912,0.593431385756737,0.4302451933296537,1.0908064505986632,0.9627472263748938,0.7133009258700074
14107,Kevin Gausman,TOR,SP,3.698058415260427,9.160156904033347,1.187861130822358,185.23872850378547,26.612895123108196,182,0.6168938567573896,1.510995689943945,0.6192204331549818,1.4232426473503954,1.395657047160649,1.11500336199317
14120,Lance McCullers Jr.,HOU,SP,5.683301070184818,8.397848509439537,1.6812157429670869,101.70727639210106,9.808438660188681,109,-0.8727560130727694,0.11363702290602191,-1.4784844561279125,0.11462405143967772,-0.36085799006696073,-0.4936029727676572
14168,José Berríos,TOR,SP,4.527856724580278,6.773952013881481,1.364595480020741,103.86726421284938,17.24255210997774,138,-0.01454826656922021,0.1435214545235568,-0.1425908208846317,0.6339969203545992,0.4158472770393736,0.2147370949812355
14374,Tyler Glasnow,LAD,SP,3.70750694088758,10.180529988453758,1.2139157870021917,150.44560982937222,17.569323707304612,133,0.6256685086960062,0.923045791086006,0.5054860142341404,0.5405743582816318,0.4442251405159343,0.6088454877981144
14527,Jorge López,NA,SP,5.986384962617953,7.2506785456022955,1.5654269868572812,25.780190384363717,2.7744905367386785,32,-1.0786847996184743,-1.1585527871527077,-0.9888550120601448,-1.2578332001783008,-1.0850925879477131,-1.1179051263760162
14739,Paul Blackburn,NYY,SP,4.682294167831185,7.340256313669284,1.361506842205678,53.82854630024142,7.432473889299622,66,-0.12569546457461334,-0.6893753113817771,-0.10143152927480584,-0.6497901335897727,-0.6048625927465077,-0.42655362127558455
14843,Michael Lorenzen,COL,SP,4.472144257782784,6.701210688725272,1.3691909284413337,106.47479205419043,16.565670241529588,143,0.03999209936586635,0.18996512542437727,-0.14918527971619783,0.7175865382212285,0.33967770155557775,0.23050337436768492
14916,Jon Gray,NA,SP,4.592525070234397,7.613654854798012,1.3447269334193184,51.60366068251986,7.190455876562515,61,-0.04540828970320583,-0.7227824257868785,-0.05552334195177713,-0.7373094210628721,-0.6265320738980363,-0.4326618275639631
15038,Germán Márquez,SDP,SP,7.681815498690618,5.486630075231715,1.8426092461146646,77.42244661715864,9.236002924567826,127,-2.409879631334543,-0.2994810981923363,-2.176029677608965,0.4313373675101443,-0.4205964120469493,-0.9681641081376264
15047,Austin Voth,CHW,SP,4.861658796212752,7.704981163658727,1.368839195518624,6.848872145474424,0.8905457423455112,8,-0.13718798043903474,-1.4719502455970734,-0.08908484055603766,-1.6853958630148826,-1.2743652016382088,-0.9421877387450974
15440,Matthew Boyd,CHC,SP,3.980814649026643,7.839920633764923,1.2244063446705127,145.47408287097136,22.456071333376382,167,0.4045997521109656,0.8405920187123141,0.46443284323901585,1.1459703988236267,0.9478406257218506,0.7650487695986445
15454,Nick Pivetta,SDP,SP,3.6194263349557265,9.113883050332458,1.1576793318972967,175.18908530083502,25.189380796292916,173,0.6856846446364866,1.3461870984678914,0.7458094778094406,1.26301285855229,1.2310826602165772,1.0621676879385094
15467,Marco Gonzales,SDP,SP,5.4811803341227066,4.956584336604447,1.5549090367027278,4.956584336604447,0.8958681947786701,9,-0.617727331265649,-1.5047200540896812,-0.8422606204142977,-1.6681386491429664,-1.2761863285888695,-1.2089557113081946
15474,Lucas Giolito,NA,SP,4.426907957263412,8.162835080707223,1.3683081623907078,128.79139794004732,17.026064667671438,142,0.07207230492986932,0.5602449084886332,-0.1514381350983338,0.7045956372595676,0.3909237016632474,0.31789490272073917
15488,Antonio Senzatela,COL,SP,7.420614842202712,4.752293874437902,1.800006207319314,44.882775480802415,6.5416935991027945,85,-2.1916452908582515,-0.8404826548424218,-1.9904046744183117,-0.31076639653398885,-0.7029520246577915,-1.2078564866293042
